COMUNE,PRO_COM_T,Abitanti,Capoluogo,Sigla
Verolengo,001293,4846,Torino,TO
Lozzolo,002072,820,Vercelli,VC
Mollia,002078,96,Vercelli,VC
Moncrivello,002079,1385,Vercelli,VC
Motta de' Conti,002082,746,Vercelli,VC
Olcenengo,002088,797,Vercelli,VC
Oldenico,002089,211,Vercelli,VC
Palazzolo Vercellese,002090,1147,Vercelli,VC
Pertengo,002091,289,Vercelli,VC
Pezzana,002093,1291,Vercelli,VC
Pila,002096,139,Vercelli,VC
Piode,002097,183,Vercelli,VC
Postua,002102,561,Vercelli,VC
Prarolo,002104,712,Vercelli,VC
Quarona,002107,3951,Vercelli,VC
Quinto Vercellese,002108,382,Vercelli,VC
Rassa,002110,62,Vercelli,VC
Rimella,002113,132,Vercelli,VC
Rive,002115,451,Vercelli,VC
Roasio,002116,2347,Vercelli,VC
Ronsecco,002118,551,Vercelli,VC
Rossa,002121,175,Vercelli,VC
Rovasenda,002122,928,Vercelli,VC
Salasco,002126,220,Vercelli,VC
Sali Vercellese,002127,102,Vercelli,VC
Saluggia,002128,3883,Vercelli,VC
San Germano Vercellese,002131,1522,Vercelli,VC
Scopa,002134,372,Vercelli,VC
Scopello,002135,365,Vercelli,VC
Serravalle Sesia,002137,4870,Vercelli,VC
Stroppiana,002142,1180,Vercelli,VC
Tricerro,002147,697,Vercelli,VC
Tronzano Vercellese,002150,3430,Vercelli,VC
Valduggia,002152,1933,Vercelli,VC
Villarboit,002163,410,Vercelli,VC
Villata,002164,1554,Vercelli,VC
Vocca,002166,160,Vercelli,VC
Alto Sermenza,002170,151,Vercelli,VC
Cellio con Breia,002171,969,Vercelli,VC
Otricoli,055024,1807,Terni,TR
Parrano,055025,489,Terni,TR
Penna in Teverina,055026,1076,Terni,TR
Polino,055027,223,Terni,TR
Porano,055028,1910,Terni,TR
San Gemini,055029,4911,Terni,TR
Carisio,002032,775,Vercelli,VC
Casanova Elvo,002033,210,Vercelli,VC
San Giacomo Vercellese,002035,290,Vercelli,VC
Cervatto,002041,58,Vercelli,VC
Cigliano,002042,4371,Vercelli,VC
Civiasco,002043,253,Vercelli,VC
Collobiano,002045,88,Vercelli,VC
Costanzana,002047,744,Vercelli,VC
Cravagliana,002048,254,Vercelli,VC
Crova,002052,408,Vercelli,VC
Desana,002054,1066,Vercelli,VC
