COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS
Verolengo,"001293","4846","1","0"
Lozzolo,"002072","820","2","0"
Mollia,"002078","96","2","0"
Moncrivello,"002079","1385","2","0"
Motta de' Conti,"002082","746","2","0"
Olcenengo,"002088","797","2","0"
Oldenico,"002089","211","2","0"
Palazzolo Vercellese,"002090","1147","2","0"
Pertengo,"002091","289","2","0"
Pezzana,"002093","1291","2","0"
Pila,"002096","139","2","0"
Piode,"002097","183","2","0"
Postua,"002102","561","2","0"
Prarolo,"002104","712","2","0"
Quarona,"002107","3951","2","0"
Quinto Vercellese,"002108","382","2","0"
Rassa,"002110","62","2","0"
Rimella,"002113","132","2","0"
Rive,"002115","451","2","0"
Roasio,"002116","2347","2","0"
Ronsecco,"002118","551","2","0"
Rossa,"002121","175","2","0"
Rovasenda,"002122","928","2","0"
Salasco,"002126","220","2","0"
Sali Vercellese,"002127","102","2","0"
Saluggia,"002128","3883","2","0"
San Germano Vercellese,"002131","1522","2","0"
Scopa,"002134","372","2","0"
Scopello,"002135","365","2","0"
Serravalle Sesia,"002137","4870","2","0"
Stroppiana,"002142","1180","2","0"
Tricerro,"002147","697","2","0"
Tronzano Vercellese,"002150","3430","2","0"
Valduggia,"002152","1933","2","0"
Villarboit,"002163","410","2","0"
Villata,"002164","1554","2","0"
Vocca,"002166","160","2","0"
Alto Sermenza,"002170","151","2","0"
Cellio con Breia,"002171","969","2","0"
Otricoli,"055024","1807","55","0"
Parrano,"055025","489","55","0"
Penna in Teverina,"055026","1076","55","0"
Polino,"055027","223","55","0"
Porano,"055028","1910","55","0"
San Gemini,"055029","4911","55","0"
Carisio,"002032","775","2","0"
Casanova Elvo,"002033","210","2","0"
San Giacomo Vercellese,"002035","290","2","0"
Cervatto,"002041","58","2","0"
Cigliano,"002042","4371","2","0"
Civiasco,"002043","253","2","0"
Collobiano,"002045","88","2","0"
Costanzana,"002047","744","2","0"
Cravagliana,"002048","254","2","0"
Crova,"002052","408","2","0"
Desana,"002054","1066","2","0"
Fobello,"002057","186","2","0"
Fontanetto Po,"002058","1091","2","0"
Formigliana,"002059","487","2","0"
Ghislarengo,"002062","826","2","0"
Greggio,"002065","346","2","0"
Guardabosone,"002066","340","2","0"
Lamporo,"002067","521","2","0"
Lenta,"002068","813","2","0"
Lignana,"002070","545","2","0"
Livorno Ferraris,"002071","4306","2","0"
Sant'Angelo Muxaro,"084039","1241","84","0"
Santo Stefano Quisquina,"084040","4337","84","0"
Siculiana,"084042","4313","84","0"
Villafranca Sicula,"084043","1371","84","0"
Acquaviva Platani,"085001","918","85","0"
Bompensiere,"085002","526","85","0"
Butera,"085003","4411","85","0"
Campofranco,"085005","2854","85","0"
Delia,"085006","4106","85","0"
Marianopoli,"085008","1737","85","0"
Milena,"085010","2888","85","0"
Montedoro,"085011","1462","85","0"
Resuttano,"085014","1862","85","0"
San Venanzo,"055030","2197","55","0"
Stroncone,"055031","4766","55","0"
Avigliano Umbro,"055033","2453","55","0"
Arlena di Castro,"056002","837","56","0"
Bagnoregio,"056003","3556","56","0"
Barbarano Romano,"056004","1030","56","0"
Bassano Romano,"056005","4729","56","0"
Bassano in Teverina,"056006","1283","56","0"
Blera,"056007","3127","56","0"
Bolsena,"056008","3865","56","0"
Bomarzo,"056009","1743","56","0"
Calcata,"056010","907","56","0"
Canepina,"056011","3032","56","0"
Capodimonte,"056013","1690","56","0"
Carbognano,"056016","1937","56","0"
Castel Sant'Elia,"056017","2557","56","0"
Castiglione in Teverina,"056018","2305","56","0"
Celleno,"056019","1308","56","0"
Cellere,"056020","1110","56","0"
Civitella d'Agliano,"056022","1551","56","0"
Corchiano,"056023","3672","56","0"
San Biagio Platani,"084035","3088","84","0"
Santa Elisabetta,"084037","2267","84","0"
Bolzano Novarese,"003022","1170","3","0"
Borgolavezzaro,"003023","2009","3","0"
Briga Novarese,"003026","2818","3","0"
Briona,"003027","1121","3","0"
Caltignaga,"003030","2504","3","0"
Carpignano Sesia,"003036","2510","3","0"
Casalbeltrame,"003037","974","3","0"
Casaleggio Novara,"003039","911","3","0"
Casalino,"003040","1531","3","0"
Casalvolone,"003041","888","3","0"
Castellazzo Novarese,"003042","324","3","0"
Cavaglietto,"003044","389","3","0"
Cavaglio d'Agogna,"003045","1185","3","0"
Cavallirio,"003047","1314","3","0"
Colazza,"003051","467","3","0"
Comignago,"003052","1245","3","0"
Cressa,"003055","1608","3","0"
Cureggio,"003058","2594","3","0"
Divignano,"003060","1402","3","0"
Dormelletto,"003062","2573","3","0"
Fara Novarese,"003065","2027","3","0"
Fontaneto d'Agogna,"003066","2620","3","0"
Garbagna Novarese,"003069","1424","3","0"
Gargallo,"003070","1775","3","0"
Ghemme,"003073","3467","3","0"
Granozzo con Monticello,"003077","1345","3","0"
Grignasco,"003079","4379","3","0"
Invorio,"003082","4328","3","0"
Landiona,"003083","547","3","0"
Lesa,"003084","2212","3","0"
Maggiora,"003088","1639","3","0"
Mandello Vitta,"003090","227","3","0"
Marano Ticino,"003091","1639","3","0"
Massino Visconti,"003093","1107","3","0"
Meina,"003095","2441","3","0"
Mezzomerico,"003097","1237","3","0"
Miasino,"003098","787","3","0"
Momo,"003100","2481","3","0"
Nebbiuno,"003103","1797","3","0"
Nibbiola,"003104","814","3","0"
Oleggio Castello,"003109","2174","3","0"
Orta San Giulio,"003112","1341","3","0"
Paruzzaro,"003114","2173","3","0"
