COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
San Gemini,"055029","4911","55","0",Terni,TR
Carisio,"002032","775","2","0",Vercelli,VC
Casanova Elvo,"002033","210","2","0",Vercelli,VC
San Giacomo Vercellese,"002035","290","2","0",Vercelli,VC
Cervatto,"002041","58","2","0",Vercelli,VC
Cigliano,"002042","4371","2","0",Vercelli,VC
Civiasco,"002043","253","2","0",Vercelli,VC
Collobiano,"002045","88","2","0",Vercelli,VC
Costanzana,"002047","744","2","0",Vercelli,VC
Cravagliana,"002048","254","2","0",Vercelli,VC
Crova,"002052","408","2","0",Vercelli,VC
Desana,"002054","1066","2","0",Vercelli,VC
Fobello,"002057","186","2","0",Vercelli,VC
Fontanetto Po,"002058","1091","2","0",Vercelli,VC
Formigliana,"002059","487","2","0",Vercelli,VC
Ghislarengo,"002062","826","2","0",Vercelli,VC
Greggio,"002065","346","2","0",Vercelli,VC
Guardabosone,"002066","340","2","0",Vercelli,VC
Lamporo,"002067","521","2","0",Vercelli,VC
Lenta,"002068","813","2","0",Vercelli,VC
Lignana,"002070","545","2","0",Vercelli,VC
Livorno Ferraris,"002071","4306","2","0",Vercelli,VC
Sant'Angelo Muxaro,"084039","1241","84","0",Agrigento,AG
Santo Stefano Quisquina,"084040","4337","84","0",Agrigento,AG
Siculiana,"084042","4313","84","0",Agrigento,AG
Villafranca Sicula,"084043","1371","84","0",Agrigento,AG
Acquaviva Platani,"085001","918","85","0",Caltanissetta,CL
Bompensiere,"085002","526","85","0",Caltanissetta,CL
Butera,"085003","4411","85","0",Caltanissetta,CL
Campofranco,"085005","2854","85","0",Caltanissetta,CL
Delia,"085006","4106","85","0",Caltanissetta,CL
Marianopoli,"085008","1737","85","0",Caltanissetta,CL
Milena,"085010","2888","85","0",Caltanissetta,CL
Montedoro,"085011","1462","85","0",Caltanissetta,CL
Resuttano,"085014","1862","85","0",Caltanissetta,CL
San Venanzo,"055030","2197","55","0",Terni,TR
Stroncone,"055031","4766","55","0",Terni,TR
Avigliano Umbro,"055033","2453","55","0",Terni,TR
Arlena di Castro,"056002","837","56","0",Viterbo,VT
Bagnoregio,"056003","3556","56","0",Viterbo,VT
Barbarano Romano,"056004","1030","56","0",Viterbo,VT
Bassano Romano,"056005","4729","56","0",Viterbo,VT
Bassano in Teverina,"056006","1283","56","0",Viterbo,VT
Blera,"056007","3127","56","0",Viterbo,VT
Bolsena,"056008","3865","56","0",Viterbo,VT
Bomarzo,"056009","1743","56","0",Viterbo,VT
Calcata,"056010","907","56","0",Viterbo,VT
Canepina,"056011","3032","56","0",Viterbo,VT
Capodimonte,"056013","1690","56","0",Viterbo,VT
Carbognano,"056016","1937","56","0",Viterbo,VT
Castel Sant'Elia,"056017","2557","56","0",Viterbo,VT
Castiglione in Teverina,"056018","2305","56","0",Viterbo,VT
Celleno,"056019","1308","56","0",Viterbo,VT
Cellere,"056020","1110","56","0",Viterbo,VT
Civitella d'Agliano,"056022","1551","56","0",Viterbo,VT
Corchiano,"056023","3672","56","0",Viterbo,VT
San Biagio Platani,"084035","3088","84","0",Agrigento,AG
Santa Elisabetta,"084037","2267","84","0",Agrigento,AG
Bolzano Novarese,"003022","1170","3","0",Novara,NO
Borgolavezzaro,"003023","2009","3","0",Novara,NO
Briga Novarese,"003026","2818","3","0",Novara,NO
Briona,"003027","1121","3","0",Novara,NO
Caltignaga,"003030","2504","3","0",Novara,NO
Carpignano Sesia,"003036","2510","3","0",Novara,NO
Casalbeltrame,"003037","974","3","0",Novara,NO
Casaleggio Novara,"003039","911","3","0",Novara,NO
Casalino,"003040","1531","3","0",Novara,NO
Casalvolone,"003041","888","3","0",Novara,NO
Castellazzo Novarese,"003042","324","3","0",Novara,NO
Cavaglietto,"003044","389","3","0",Novara,NO
Cavaglio d'Agogna,"003045","1185","3","0",Novara,NO
Cavallirio,"003047","1314","3","0",Novara,NO
Colazza,"003051","467","3","0",Novara,NO
Comignago,"003052","1245","3","0",Novara,NO
Cressa,"003055","1608","3","0",Novara,NO
Cureggio,"003058","2594","3","0",Novara,NO
Divignano,"003060","1402","3","0",Novara,NO
Dormelletto,"003062","2573","3","0",Novara,NO
Fara Novarese,"003065","2027","3","0",Novara,NO
Fontaneto d'Agogna,"003066","2620","3","0",Novara,NO
Garbagna Novarese,"003069","1424","3","0",Novara,NO
Gargallo,"003070","1775","3","0",Novara,NO
Ghemme,"003073","3467","3","0",Novara,NO
Granozzo con Monticello,"003077","1345","3","0",Novara,NO
Grignasco,"003079","4379","3","0",Novara,NO
Invorio,"003082","4328","3","0",Novara,NO
Landiona,"003083","547","3","0",Novara,NO
Lesa,"003084","2212","3","0",Novara,NO
Maggiora,"003088","1639","3","0",Novara,NO
Mandello Vitta,"003090","227","3","0",Novara,NO
Marano Ticino,"003091","1639","3","0",Novara,NO
Massino Visconti,"003093","1107","3","0",Novara,NO
Meina,"003095","2441","3","0",Novara,NO
Mezzomerico,"003097","1237","3","0",Novara,NO
Miasino,"003098","787","3","0",Novara,NO
Momo,"003100","2481","3","0",Novara,NO
Nebbiuno,"003103","1797","3","0",Novara,NO
Nibbiola,"003104","814","3","0",Novara,NO
Oleggio Castello,"003109","2174","3","0",Novara,NO
Orta San Giulio,"003112","1341","3","0",Novara,NO
Paruzzaro,"003114","2173","3","0",Novara,NO
Pella,"003115","928","3","0",Novara,NO
Pettenasco,"003116","1350","3","0",Novara,NO
Pisano,"003119","814","3","0",Novara,NO
Pogno,"003120","1381","3","0",Novara,NO
Pombia,"003121","2140","3","0",Novara,NO
Prato Sesia,"003122","1868","3","0",Novara,NO
Recetto,"003129","945","3","0",Novara,NO
Romagnano Sesia,"003130","3860","3","0",Novara,NO
San Maurizio d'Opaglio,"003133","3039","3","0",Novara,NO
San Nazzaro Sesia,"003134","740","3","0",Novara,NO
San Pietro Mosezzo,"003135","1958","3","0",Novara,NO
Sillavengo,"003138","554","3","0",Novara,NO
Sizzano,"003139","1407","3","0",Novara,NO
Soriso,"003140","747","3","0",Novara,NO
Sozzago,"003141","1078","3","0",Novara,NO
Suno,"003143","2731","3","0",Novara,NO
Terdobbiate,"003144","467","3","0",Novara,NO
Tornaco,"003146","921","3","0",Novara,NO
Vaprio d'Agogna,"003153","976","3","0",Novara,NO
Varallo Pombia,"003154","4922","3","0",Novara,NO
Vespolate,"003158","2028","3","0",Novara,NO
Vicolungo,"003159","867","3","0",Novara,NO
Vinzaglio,"003164","546","3","0",Novara,NO
Sutera,"085020","1299","85","0",Caltanissetta,CL
Vallelunga Pratameno,"085021","3331","85","0",Caltanissetta,CL
Villalba,"085022","1526","85","0",Caltanissetta,CL
Aidone,"086002","4674","86","0",Enna,EN
Agrate Conturbia,"003001","1572","3","0",Novara,NO
Ameno,"003002","958","3","0",Novara,NO
Armeno,"003006","2162","3","0",Novara,NO
Barengo,"003012","760","3","0",Novara,NO
Biandrate,"003018","1296","3","0",Novara,NO
Boca,"003019","1152","3","0",Novara,NO
Bogogno,"003021","1275","3","0",Novara,NO
Carrù,"004043","4345","4","0",Cuneo,CN
Cartignano,"004044","174","4","0",Cuneo,CN
Bairo,"001015","802","1","0",Torino,TO
Balangero,"001016","3136","1","0",Torino,TO
Baldissero Canavese,"001017","535","1","0",Torino,TO
Baldissero Torinese,"001018","3659","1","0",Torino,TO
Balme,"001019","112","1","0",Torino,TO
Banchette,"001020","3225","1","0",Torino,TO
Barbania,"001021","1598","1","0",Torino,TO
Bardonecchia,"001022","3159","1","0",Torino,TO
Barone Canavese,"001023","578","1","0",Torino,TO
Bibiana,"001025","3476","1","0",Torino,TO
