Codice comune,Totale_sum
1001,5276
1002,7392
1003,906
1004,3282
1006,12750
1007,492
1008,33622
1009,4116
1010,990
1011,1690
1012,2162
1013,25198
1014,2500
1015,1604
1016,6272
1017,1070
1018,7318
1019,224
1020,6450
1021,3196
1022,6318
1023,1156
1024,35712
1025,6952
1026,1092
1027,4270
1028,23862
1029,1194
1030,7262
1031,1592
1032,4420
1033,6214
1034,17644
1035,9200
1036,802
1037,886
1038,17196
1039,2996
1040,3038
1041,2710
1042,2270
1043,3274
1044,11648
1045,12694
1046,6766
1047,14992
1048,12016
1049,2678
1050,2428
1051,11288
1052,548
1053,5180
1054,1170
1055,4156
1056,1822
1057,1530
1058,18482
1059,57848
1060,3760
1061,3034
1062,6082
1063,28006
1064,3514
1065,4404
1066,19690
1067,828
1068,13000
1069,4494
1070,10956
1071,3562
1072,2066
1073,326
1074,1880
1075,710
1076,3180
1077,4090
1078,73540
1079,440
1080,1762
1081,3202
1082,53654
1083,770
1084,490
1085,656
1086,37096
1087,408
1088,2982
1089,6392
1090,99230
1091,604
1092,1168
1093,8970
1094,6366
1095,926
1096,1918
1097,15752
1098,19260
1099,17828
1100,476
1101,10364
1102,4480
1103,1012
1104,5278
1105,1528
1106,4568
1107,6642
1108,526
1109,3324
1110,5752
1111,1102
1112,19000
1113,2262
1114,1204
1115,32850
1116,7948
1117,1342
1118,384
1119,2000
1120,75254
1121,94
1122,1402
1123,758
1124,790
1125,46676
1126,3590
1127,17682
1128,9972
1129,2988
1130,32954
1131,328
1132,3604
1133,890
1134,2854
1135,3442
1136,2106
1137,2308
1139,14534
1140,1016
1141,1130
1142,2316
1143,822
1144,2608
1145,106
1146,7778
1147,1326
1148,8388
1149,1654
1150,2538
1152,1522
1153,758
1154,1286
1155,670
1156,114930
1157,66
1158,1428
1159,1978
1160,6760
1161,10424
1162,1680
1163,1704
1164,95016
1165,220
1166,13676
1167,590
1168,15896
1169,1052
1170,2920
1171,46648
1172,1534
1173,2336
1174,1822
1175,6632
1176,2384
1177,1704
1178,4092
1179,834
1180,2254
1181,7514
1183,8204
1184,6338
1185,1054
1186,1248
1187,1492
1188,1234
1189,31068
1190,5836
1191,72356
1192,16830
1193,7712
1194,36810
1195,6700
1196,2746
1197,20586
1198,1972
1199,6420
1200,2108
1201,1540
1202,496
1203,3816
1204,434
1205,2540
1206,1462
1207,962
1208,660
1209,704
1210,2058
1211,3552
1212,98
1213,2324
1214,40534
1215,9530
1216,5074
1217,25022
1218,3154
1219,96944
1220,6062
1221,3432
1222,4052
1223,5330
1224,598
1225,3766
1226,462
1227,1578
1228,10086
1229,4770
1230,1570
1231,3684
1232,1246
1233,936
1234,150
1235,3064
1236,12048
1237,8024
1238,696
1239,1048
1240,9764
1241,7458
1242,3494
1243,6296
1244,5130
1245,1942
1246,6624
1247,1614
1248,20670
1249,37816
1250,2852
1251,526
1252,6214
1253,3790
1254,7290
1255,9422
1256,8394
1257,21472
1258,490
1259,2180
1260,6534
1261,1652
1262,2910
1263,1844
1264,936
1265,93850
1266,3084
1267,1924
1268,540
1269,12396
1270,12346
1271,1548
1272,1741904
1273,5948
1274,1208
1275,9086
1276,7628
1278,644
1279,1048
1280,21720
1281,378
1282,400
1283,2836
1284,7920
1285,1856
1286,1584
1287,6052
1288,190
1289,1702
1290,2904
1291,1760
1292,66498
1293,9692
1294,2778
1295,1604
1296,496
1298,1026
1299,10262
1300,9204
1301,2428
1302,6964
1303,5694
1304,2020
1305,3880
1306,2112
1307,7980
1308,9248
1309,30490
1310,2304
1311,2452
1312,1038
1313,2042
1314,30906
1315,17040
1316,14914
1317,2552
1318,2052
2002,1454
2003,618
2004,5088
2006,1726
2007,2840
2008,230
2009,434
2011,3752
2014,340
2015,4640
2016,25004
2017,4422
2021,1698
2025,460
