Codice comune,Totale_sum
2029,148
2030,2076
2031,2218
2032,1550
2033,420
2035,580
2041,116
2042,8742
2043,506
2045,176
2047,1488
2048,508
2049,15554
2052,816
2054,2132
2057,372
2058,2182
2059,974
2061,15542
2062,1652
2065,692
2066,680
2067,1042
2068,1626
2070,1090
2071,8612
2072,1640
2078,192
2079,2770
2082,1492
2088,1594
2089,422
2090,2294
2091,578
2093,2582
2096,278
2097,366
2102,1122
2104,1424
2107,7902
2108,764
2110,124
2113,264
2115,902
2116,4694
2118,1102
2121,350
2122,1856
2126,440
2127,204
2128,7766
2131,3044
2133,16758
2134,744
2135,730
2137,9740
2142,2360
2147,1394
2148,13968
2150,6860
2152,3866
2156,14202
2158,93116
2163,820
2164,3108
2166,320
2170,302
2171,1938
3001,3144
3002,1916
3006,4324
3008,27952
3012,1520
3016,19090
3018,2592
3019,2304
3021,2550
3022,2340
3023,4018
3024,43430
3025,10444
3026,5636
3027,2242
3030,5008
3032,21736
3036,5020
3037,1948
3039,1822
3040,3062
3041,1776
3042,648
3043,19804
3044,778
3045,2370
3047,2628
3049,13570
3051,934
3052,2490
3055,3216
3058,5188
3060,2804
3062,5146
3065,4054
3066,5240
3068,31444
3069,2848
3070,3550
3073,6934
3076,11082
3077,2690
3079,8758
3082,8656
3083,1094
3084,4424
3088,3278
3090,454
3091,3278
3093,2214
3095,4882
3097,2474
3098,1574
3100,4962
3103,3594
3104,1628
3106,207970
3108,28476
3109,4348
3112,2682
3114,4346
3115,1856
3116,2700
3119,1628
3120,2762
3121,4280
3122,3736
3129,1890
3130,7720
3131,11196
3133,6078
3134,1480
3135,3916
3138,1108
3139,2814
3140,1494
3141,2156
3143,5462
3144,934
3146,1842
3149,41424
3153,1952
3154,9844
3158,4056
3159,1734
3164,1092
3166,10542
4001,312
4002,432
4003,63218
4004,462
4005,274
4006,152
4007,400
4008,2034
4009,11800
4010,2132
4011,1230
4012,15098
4013,1360
4014,1286
4015,438
4016,6922
4017,202
4018,704
4019,7326
4020,962
4021,112
4022,8340
4023,200
4024,756
4025,24852
4026,348
4027,1272
4028,19434
4029,59704
4030,596
4031,84
4032,558
4033,2050
4034,20328
4035,1182
4037,11120
4038,156
4039,184
4040,13602
4041,6114
4042,2300
4043,8690
4044,348
4045,2836
4046,4414
4047,310
4049,2748
4050,634
4051,1808
4052,592
4053,118
4054,214
4055,1396
4056,1678
4057,954
4058,1330
4059,10862
4060,172
4061,13914
4062,4062
4063,840
4064,10272
4065,4480
4066,11354
4067,18736
4068,7244
4069,362
4070,172
4071,1618
4072,4332
4073,4538
4074,1880
4075,6636
4076,746
4077,316
4078,112406
4079,3828
4080,7276
4081,9354
4082,14088
4083,178
4084,1694
4085,3934
4086,3468
4087,950
4088,596
4089,48954
4090,1490
4091,3128
4092,538
4093,1152
4094,682
4095,5974
4096,5218
4097,528
4098,258
4099,4588
4100,4034
4101,7178
4102,132
4103,156
4104,2856
4105,5476
4106,902
4107,1524
4108,1668
4109,392
4110,2912
4111,378
4112,98
4113,4440
4114,4420
4115,2626
4116,7640
4117,6580
4118,2842
4119,120
4120,442
4121,1476
4122,568
4123,446
4124,524
4125,1208
4126,2576
4127,164
4128,2758
4129,1144
4130,44720
4131,1220
4132,3958
4133,9374
4134,1088
4135,1702
4136,1482
4137,956
4138,452
4139,1042
4140,3188
4141,458
4142,4730
4143,8138
4144,4042
4145,1702
4146,1866
4147,7098
4148,6726
4149,726
4150,726
4151,2000
4152,1944
4153,794
4154,164
4155,3114
4156,178
4157,5364
4158,1136
4159,566
4160,408
4161,536
4162,224
4163,11196
4164,658
4165,4202
4166,5500
4167,152
4168,2790
4169,1964
4170,6666
4171,2216
4172,332
4173,470
4174,344
4175,980
4176,4038
4177,1362
4178,848
4179,19816
4180,8506
4181,2112
4182,218
4183,196
4184,188
4185,4446
4186,948
4187,3070
4188,260
4189,3216
4190,4242
4191,1486
4192,5336
4193,312
4194,3214
4195,840
4196,1916
4197,1662
4198,708
4199,950
4200,324
4201,2490
4202,1436
4203,35052
4204,170
4205,1996
4206,326
4207,814
4208,6028
4209,4680
4210,3774
4211,4718
4212,5722
4213,7918
4214,2748
4215,43330
4216,364
4217,4266
4218,1122
4219,600
4220,986
4221,646
4222,12690
4223,5446
4224,202
4225,4306
4226,330
4227,980
4228,1462
4229,92
4230,1546
4231,624
4232,4470
4233,1816
4234,1548
4235,208
4237,2768
4238,1056
4239,2310
4240,12842
4241,4626
4242,6324
4243,5210
4244,5872
4245,11604
4246,1490
4247,3074
4248,1214
4249,728
4250,1002
5001,3156
5002,1000
5003,1924
5004,1134
5005,151056
5006,762
5007,2314
5008,656
5009,818
5010,618
5011,1610
5012,5054
5013,3404
5014,2574
5015,2424
5016,828
5017,20784
5018,1998
5019,632
5020,1202
5021,1198
5022,7408
5023,2342
5024,1188
5025,5356
5026,610
5027,280
5028,3742
5029,1652
5030,1452
5031,6252
5032,800
5033,1418
5034,940
5035,442
5036,1188
5037,736
5038,458
5039,900
5040,2444
5041,584
5042,2908
5044,406
5045,616
5046,548
5047,1186
5048,1072
5049,1042
5050,11510
5051,904
5052,2144
5053,3066
5054,1102
5055,1462
5056,1174
5057,1216
5058,4276
5059,4046
5060,642
5061,488
5062,766
5063,1004
5064,404
5065,2056
5066,4252
5067,2002
5068,1824
5069,5666
5070,1766
5071,1748
5072,642
5073,1870
5074,1480
5075,2552
5076,4640
5077,2160
5079,372
5080,20656
5081,142
5082,840
5083,920
5084,1118
5085,432
5086,1176
5087,4042
5088,332
5089,3124
5090,1558
5091,748
5092,946
5093,1802
5094,764
5095,694
5096,2832
5097,16442
5098,212
5099,1366
5100,2034
5101,2418
5103,1078
5104,226
5105,502
5106,1060
5107,304
5108,3426
5109,1592
5110,492
5111,562
5112,4836
5113,1218
5114,482
5115,1722
5116,1642
5117,5970
5118,11294
5119,774
5120,1134
5121,3170
6001,39464
6002,586
6003,187268
6004,1484
6005,1464
6007,848
6008,728
6009,12734
6010,524
6011,2670
6012,4136
6013,3284
6014,1004
6015,1416
6016,312
6017,3620
6018,3902
6019,1116
6020,2768
6021,4622
6022,2316
6023,652
6024,866
6025,962
6026,956
6027,1466
6028,902
6029,3670
6030,2252
6031,620
6032,852
6033,1862
6034,170
6035,1004
6036,1452
6037,2382
6038,744
6039,67184
6040,1968
6041,238
6043,5886
6044,1700
6045,176
6046,800
6047,8908
6048,282
6049,3850
6050,920
6051,2946
6052,1272
6053,10066
6054,824
6055,530
6056,990
6057,810
6058,600
6059,2694
6060,880
6061,1910
6062,646
6063,2072
6065,340
6066,368
6067,1186
6068,4420
6069,622
6070,1020
6071,880
6072,980
6073,2756
6074,1304
6075,3856
6076,3198
6077,2104
6078,1632
6079,1304
6081,8918
6082,1372
6083,604
6084,486
6085,958
6086,606
6087,1318
6088,1634
6090,156
6091,2636
6092,2588
6093,362
6094,2524
6095,4208
6096,1178
6097,1910
6098,398
6099,380
6100,298
6101,1124
6102,502
6103,474
6104,1238
6105,614
6106,1064
6107,586
6108,608
6109,2770
6110,834
6111,1422
6112,1254
6113,2686
6114,56510
6115,2540
6116,876
6117,478
6118,234
6119,830
6120,1232
6121,22438
6122,2396
6123,2764
6124,400
6125,1078
6126,1282
6127,2542
6128,2374
6129,1790
6131,668
6132,7062
6133,2750
6134,1156
6135,658
6136,2024
6137,592
6138,9224
6139,972
6140,3908
6141,2764
6142,3128
6143,1280
6144,2776
6145,804
6146,250
6147,2968
6148,430
6149,2996
6150,648
6151,7988
6152,1136
6153,2414
6154,8358
6155,1142
6156,768
6157,788
6158,2314
6159,1046
6160,11948
6161,2528
6162,3822
6163,3268
6164,418
6165,1952
6166,718
6167,4774
6168,3820
6169,3076
6170,1234
6171,1844
6172,1708
6173,2682
6174,54496
6175,552
6176,1352
6177,37348
6178,1964
6179,1918
6180,4122
6181,6222
6182,958
6183,1792
6184,600
6185,3608
6186,1324
6187,2414
6188,2372
6189,266
6190,1418
6191,3734
6192,3378
6193,2758
7001,418
7002,1106
7003,68104
7004,2486
7005,1722
7006,604
7007,2760
7008,4230
7009,240
7010,446
7011,1892
7012,1724
7013,1502
7014,1070
7015,1816
7016,192
7017,1412
7018,768
7019,4802
7020,9164
7021,2700
7022,5460
7023,4920
7024,1010
7025,452
7026,952
7027,3580
7028,860
7029,896
7030,3482
7031,6750
7032,628
7033,1590
7034,2344
7035,1304
7036,810
7037,2736
7038,1416
7039,214
7040,4080
7041,1594
7042,888
7043,3542
7044,4246
7045,5942
7046,328
7047,424
7048,920
7049,3074
7050,340
7051,1588
7052,7276
7053,2040
7054,8212
7055,168
7056,338
7057,2048
7058,7034
7059,748
7060,2720
7061,628
7062,400
7063,6456
7064,658
7065,9128
7066,9712
7067,1118
7068,386
7069,1216
7070,346
7071,4526
7072,2552
7073,5264
7074,2500
8001,740
8002,1244
8003,306
8004,234
8005,666
8006,2188
8007,682
8008,20746
8009,834
8010,1670
8011,11232
8012,530
8014,2456
8015,548
8016,2328
8017,2276
8018,534
8019,1150
8020,1024
8021,2452
8022,1204
8023,374
8024,1560
8025,1368
8026,4550
8027,11670
8028,2212
8029,4136
8030,2646
8031,85228
8032,1372
8033,564
8034,344
8035,1228
8037,226
8038,386
8039,6308
8040,1666
8041,898
8042,2692
8043,1570
8044,1718
8045,4622
8046,1340
8047,952
8048,1102
8049,628
8050,5690
8051,592
8052,6124
8053,2532
8054,2520
8055,109700
8056,4172
8057,550
8058,2026
8059,28068
8060,464
8061,700
8062,2586
8063,13840
8064,780
8065,48684
8066,490
8067,920
8068,996
9001,21304
9002,48122
9003,10678
9004,19484
9005,4002
9006,14986
9007,1192
9008,1074
9009,1522
9010,2146
9011,5022
9012,9318
9013,4292
9014,714
9015,25682
9016,3444
9017,2876
9018,10822
9019,1466
9020,640
9021,290
9022,10136
9023,6842
9024,10918
9025,4178
9026,2130
9027,3890
9028,446
9029,22716
9030,2530
9031,2000
9032,830
9033,3518
9034,22068
9035,1868
9036,2162
9037,216
9038,6562
9039,1010
9040,1570
9041,378
9042,5180
9043,432
9044,1786
9045,3224
9046,900
9047,1868
9048,1594
9049,17222
9050,1284
9051,1676
9052,14102
9053,1106
9054,1546
9055,3534
9056,119866
9057,7252
9058,5920
9059,1678
9060,344
9061,5390
9062,5154
9063,1376
9064,16614
9065,25802
9066,724
9067,1608
9068,5548
9069,592
10001,22636
10002,5050
10003,5226
10004,8900
10005,3892
10006,10784
10007,10336
10008,5682
10009,13360
10010,7486
10011,13542
10012,6292
10013,3138
10014,7470
10015,55450
10016,4750
10017,17846
10018,11414
10019,554
10020,1046
10021,3684
10022,130
10023,904
10024,506
10025,1148180
10026,170
10027,2890
10028,25122
10029,4778
10030,844
10031,3008
10032,7186
10033,5282
10034,2976
10035,7114
10036,4936
10037,5368
10038,450
10039,4044
10040,4406
10041,1682
10042,1054
10043,4970
10044,754
10045,274
10046,59344
10047,19266
10048,1898
10049,8438
10050,124
10051,5256
10052,1012
10053,5236
10054,17946
10055,11492
10056,2114
10057,6166
10058,15422
10059,36164
10060,8156
10061,1026
10062,4438
10063,1184
10064,4342
10065,1528
10066,740
10067,4800
11001,8728
11002,20720
11003,4658
11004,15354
11005,1672
11006,1802
11007,2580
11008,2174
11009,1040
11010,972
11011,16768
11012,2746
11013,12606
11014,1258
11015,186576
11016,20008
11017,10736
11018,1230
11019,2804
11020,16642
11021,1084
11022,6840
11023,7256
11024,2858
11025,1370
11026,20022
11027,44296
11028,2658
11029,3764
11030,1558
11031,14618
11032,994
12001,816
12002,10474
12003,10994
12004,20178
12005,9670
12006,9382
12007,1526
12008,3366
12009,3232
12010,1318
12011,5098
12012,11114
12013,17934
12014,6574
12015,8778
12016,4430
12017,6416
12018,1724
12019,3446
12020,2472
12021,1598
12022,2480
12023,1874
12024,2358
12025,6254
12026,167818
12027,4424
12029,15408
12030,9528
12031,5190
12032,29708
12033,13364
12034,36356
12035,9764
12036,5438
12037,2768
12038,7410
12039,11428
12040,43602
12041,1324
12042,28876
12043,1118
12044,2610
12045,3922
12046,15394
12047,10212
12048,11536
12049,1634
12050,20858
12051,7664
12052,3886
12053,9398
12054,2418
12055,5862
12056,1570
12057,1218
12058,7222
12059,6198
12060,5982
12061,330
12062,6682
12063,3346
12064,6070
12065,2980
12066,248
12067,24958
12068,13578
12069,1398
12070,107868
12071,1992
12072,18582
12073,9252
12074,5764
12075,21782
12076,7794
12077,5270
12078,9894
12079,16622
12080,4342
12081,2510
12082,2132
12083,20900
12084,10596
12085,10516
12086,12070
12087,17290
12088,7476
12089,10108
12090,23342
12091,2516
12092,29150
12093,2680
12095,2540
12096,33446
12097,7194
12098,16048
12099,632
12100,606
12101,3672
12102,3226
12103,2998
12104,3866
12105,8550
12106,9936
12107,8638
12108,25224
12109,15876
12110,1642
12113,5882
12114,4660
12115,1860
12116,2620
12117,6166
12118,32348
12119,78664
12120,22300
12121,8162
12122,10866
12123,36052
12124,12190
12125,7352
12126,5184
12127,38174
12128,8158
12129,454
12130,21418
12131,3182
12132,4906
12133,161290
12134,14852
12136,12186
12137,14868
12138,17436
12139,10460
12140,1144
12141,2980
12142,5160
12143,5344
13003,12800
13004,8444
13005,5460
13006,2588
13007,9800
13009,3670
13010,15534
13011,1358
13012,10326
13013,7144
13015,1164
13021,658
13022,5560
13023,9584
13024,3444
13025,572
13026,2434
13028,13158
13029,4360
13030,660
13032,3370
13034,8162
13035,15048
13036,16026
13037,988
13040,4006
13041,80062
13042,10376
13043,11146
13044,2288
13045,5912
13046,8982
13047,6374
13048,13298
13052,3330
13053,9968
13055,6746
13058,2514
13059,1814
13062,406
13063,1090
13064,18530
13065,13306
13068,4270
13071,1136
13074,998
13075,171830
13077,1650
13083,1348
13084,6990
13085,448
13087,1214
13089,2964
13090,6578
13092,496
13095,32670
13097,5236
13098,2324
13099,9560
13100,6454
13101,10216
13102,19700
13106,1416
13107,2070
13110,5704
13111,2650
13113,1240
13114,11682
13118,18396
13119,1782
13120,1062
13121,4978
13123,942
13126,4048
13128,7796
13129,11954
13130,332
13131,8674
13133,20182
13134,3874
13135,5534
13136,10964
13137,5192
13138,19760
13139,1304
13143,50706
13144,6538
13145,6248
13147,8184
13152,3192
13153,4756
13154,10680
13155,442
13157,5200
13159,17578
13160,1916
13161,2404
13163,5726
13165,23620
13169,4808
13170,5406
13178,372
13183,2124
13184,474
13185,1668
13186,1384
13187,466
13188,8728
13189,9894
13192,1888
13193,2766
13195,610
13197,2616
13199,3430
13201,15890
13202,12462
13203,1016
13204,1982
13206,15718
13207,580
13211,1740
13212,6316
13216,2468
13217,1280
13218,1234
13222,11510
13223,2300
13226,464
13227,19082
13228,9880
13229,5330
13232,5374
13233,324
13234,2998
13236,400
13238,6128
13239,1512
13242,8352
13245,16076
13246,394
13248,3504
13249,8306
13250,7388
13251,10964
13252,10246
13253,5898
13254,7196
13255,9442
14001,572
14002,5994
14003,1174
14004,3092
14005,6514
14006,236
14007,8196
14008,2590
14009,8322
14010,3998
14011,2168
14012,1868
14013,2734
14014,1238
14015,3150
14016,860
14017,1588
14018,14660
14019,4866
14020,5050
14021,680
14022,2254
14023,2754
14024,10934
14025,914
14026,6688
14027,7422
14028,1108
14029,1592
14030,1124
14031,314
14032,3914
14033,8942
14034,3340
14035,1066
14036,2600
14037,13538
14038,1260
14039,1484
14040,1990
14041,1880
14043,3642
14044,5932
14045,24886
14046,3808
14047,74
14048,2814
14049,4288
14050,3838
14051,3704
14052,4504
14053,1322
14054,5914
14055,578
14056,1090
14057,5808
14058,708
14059,976
14060,8086
14061,42914
14062,162
14063,9368
14064,390
14065,9048
14066,17972
14067,1502
14068,1294
14069,5706
14070,4032
14071,8358
14072,7228
14073,5102
14074,1736
14075,2152
14076,428
14077,1912
14078,5938
15002,65710
15005,9470
15007,13388
15009,39366
15010,24638
15011,18404
15012,34688
15014,7404
15015,16168
15016,7736
15019,6118
15022,4108
15024,14490
15026,8186
15027,73522
15032,52820
15035,4876
15036,54140
15038,9296
15040,16848
15041,27956
15042,2450
15044,14256
15046,25274
15050,8336
15051,31356
15055,8066
15058,10938
15059,38324
15060,28032
15061,3712
15062,22430
15070,69960
15071,10202
15072,30442
15074,47932
15076,28914
15077,152528
15078,9752
15081,96060
15082,4128
15085,37034
15086,41032
15087,41162
15093,70076
15096,16520
15097,8526
15098,37888
15099,12886
15101,6024
15103,18410
15105,54270
15106,17530
15108,41670
15110,6142
15112,3244
15113,17316
15114,22642
15115,18152
15116,52428
15118,120672
15122,8268
15125,20682
15130,48776
15131,18554
15134,12334
15136,7268
15139,24588
15140,36758
15142,37340
15144,8462
15146,2792118
15150,2114
15151,16156
15154,34284
15155,1298
15157,40214
15158,9154
15159,28200
15164,8652
15165,2870
15166,94934
15167,11842
15168,56192
15169,22580
15170,22946
15171,47888
15172,18174
15173,31838
15175,74452
15176,16796
15177,12458
15178,17196
15179,14770
15181,28434
15182,102646
15183,9706
15184,13632
15185,9172
15188,11634
15189,85114
15191,14904
15192,65688
15194,13436
15195,78170
15200,10066
15201,16680
15202,8932
15204,24968
15205,73158
15206,43250
15209,163682
15210,14878
15211,40408
15213,28204
15219,10530
15220,42606
15221,24342
15222,7282
15224,11712
15226,14328
15229,18716
15230,18588
15236,6630
15237,18572
15242,34306
15243,18552
15244,8014
15247,13808
15248,12414
15249,10498
15250,24540
15251,11484
16001,4382
16002,1624
16003,16760
16004,35600
16005,11080
16006,12746
16007,11314
16008,27366
16009,4784
16010,6448
16011,9716
16012,6856
16013,5474
16014,364
16015,1114
16016,15250
16017,776
16018,8792
16019,1396
16020,8474
16021,4002
16022,1418
16023,4886
16024,243562
16025,2794
16026,1180
16027,152
16028,12832
16029,12440
16030,20316
16031,13392
16032,2332
16033,1998
16034,10216
16035,1430
16036,1388
16037,17170
16038,15878
16040,12060
16041,228
16042,11226
16043,12164
16044,10704
16046,16620
16047,8608
16048,1198
16049,8654
16050,2420
16051,16482
16052,6172
16053,32594
16055,9646
16056,600
16057,9426
16058,7940
16059,8242
16060,6372
16061,226
16062,21004
16063,5694
16064,6782
16065,2584
16066,5270
16067,3290
16068,5104
16069,7808
16070,8332
16071,3176
16072,6896
16073,12232
16074,12622
16075,10988
16076,10248
16077,17314
16078,2244
16079,22356
16080,3296
16081,8872
16082,1866
16083,3882
16084,6762
16085,1114
16086,18070
16087,8336
16088,7220
16089,15128
16090,454
16091,47338
16092,1788
16093,6858
16094,4020
16096,16084
16097,2588
16098,6242
16099,2274
16100,5992
16101,9452
16102,1130
16103,374
16104,6170
16105,6856
16106,414
16107,1996
16108,10734
16109,2982
16110,1712
16111,10012
16113,12330
16114,10364
16115,13130
16116,3038
16117,12974
16118,2390
16119,1772
16120,14900
16121,346
16122,1296
16123,8324
16124,8822
16125,1148
16126,7496
16127,1662
16128,10364
16129,5726
16130,1788
16131,8166
16132,13850
16133,21510
16134,324
16135,5948
16136,414
16137,2330
16139,6626
16140,5022
16141,5936
16142,9000
16143,14854
16144,23028
16145,988
16146,1980
16147,292
16148,1166
16149,1814
16150,3412
16151,294
16152,10652
16153,25310
16154,4236
16155,8098
16156,8974
16157,11556
16158,5422
16159,714
16160,12052
16161,3554
16162,2922
16163,2130
16164,2410
16165,788
16166,178
16167,3204
16168,3540
16169,13624
16170,23234
16171,6716
16172,10052
16173,9184
16174,3760
16175,2204
16176,9678
16177,3398
16178,11932
16179,2460
16180,1826
16182,7742
16183,41620
16184,840
16185,1602
16186,1840
16187,8316
16188,9464
16189,11560
16190,9654
16191,1080
16193,13600
16194,19850
16195,2306
16196,5020
16197,4040
16198,50760
16199,4124
16200,3608
16201,1420
16202,18240
16203,8994
16204,10610
16205,1992
16206,11472
16207,26598
16208,2136
16209,7640
16210,1092
16211,4036
16212,10162
16213,16156
16214,17650
16215,4326
16216,4916
16217,2228
16218,19542
16219,61260
16220,21890
16221,2760
16222,19850
16223,2030
16224,8744
16225,1190
16226,264
16227,426
16229,522
16230,378
16232,15050
16233,16404
16234,9106
16235,2262
16236,2698
16237,1158
16238,9290
16239,13366
16240,13548
16241,3664
16242,16336
16243,2894
16244,5476
16245,17608
16246,17602
16247,1794
16248,1316
16249,594
16250,4804
16251,4076
16252,7784
16253,8512
17001,3008
17002,14502
17003,3330
17004,4850
17005,934
17006,4688
17007,7228
17008,6792
17009,25238
17010,7614
17011,4640
17012,2318
17013,4658
17014,24458
17015,5582
17016,3164
17017,4936
17018,7542
17019,2672
17020,10788
17021,18528
17022,5334
17023,21694
17024,4188
17025,15122
17026,3420
17027,1380
17028,9628
17029,399158
17030,1470
17031,4268
17032,26280
17033,7166
17034,17050
17035,4882
17036,698
17037,9232
17038,19024
17039,26074
17040,16832
17041,13368
17042,22024
17043,23142
17044,3320
17045,14846
17046,21942
17047,2282
17048,9758
17049,1308
17050,3628
17051,1686
17052,38512
17053,3048
17054,1072
17055,5476
17056,17590
17057,9196
17058,4074
17059,15158
17060,8024
17061,31492
17062,14310
17063,3854
17064,2840
17065,31312
17066,11162
17067,59198
17068,8948
17069,17482
17070,10432
17071,4044
17072,17884
17073,9320
17074,5316
17075,23118
17076,5652
17077,24718
17078,37260
17079,4286
17080,10158
17081,33438
17082,3798
17083,714
17084,256
17085,18310
17086,8252
17087,1030
17088,28524
17089,2284
17090,3332
17091,7684
17092,33624
17093,1114
17094,1222
17095,772
17096,44004
17097,2932
17098,220
17099,7084
17100,4006
17101,6212
17102,10828
17103,26636
17104,8548
17105,1310
17106,6292
17107,24962
17108,3466
17109,5242
17110,1072
17111,3376
17112,9116
17113,52288
17114,10244
17115,1560
17116,5350
17117,21492
17118,4036
17119,7846
17120,9516
17121,3858
17122,8154
17123,6416
17124,1960
17125,25104
17126,4968
17127,29894
17128,3060
17129,9458
17130,7342
17131,350
17132,4252
17133,40632
17134,9706
17135,1198
17136,14044
17137,5526
17138,8990
17139,1080
17140,1210
17141,2938
17142,9540
17143,15808
17144,4950
17145,5420
17146,7538
17147,10490
17148,3504
17149,14120
17150,13894
17151,7140
17152,5784
17153,3066
17155,13932
17156,14566
17157,1786
17158,6954
17159,12508
17160,6798
17161,26992
17162,9600
17163,19682
17164,8860
17165,18920
17166,38842
17167,11658
17168,7958
17169,6700
17170,21238
17171,6896
17172,5332
17173,9554
17174,26530
17175,1744
17176,2856
17177,2910
17178,6114
17179,16672
17180,3840
17181,2506
17182,3926
17183,2500
17184,2248
17185,2422
17186,13034
17187,15530
17188,27844
17189,4154
17190,10920
17191,1042
17192,7462
17193,2884
17194,356
17195,16312
17196,7540
17197,8576
17198,2908
17199,21532
17200,2772
17201,11690
17202,1308
17203,4026
17204,16446
17205,2108
17206,9426
18001,1636
18002,480
18003,1068
18004,7276
18005,3128
18006,724
18007,1284
18008,1708
18009,3616
18011,1910
18012,1350
18013,12624
18014,5816
18015,5292
18016,2770
18017,830
18018,1890
18019,5342
18020,1252
18021,1060
18022,1474
18023,7002
18024,19272
18025,214
18026,2194
18027,3030
18029,2738
18030,2872
18031,902
18032,1760
18033,4944
18034,17786
18035,13900
18036,1458
18037,13462
18038,2100
18039,2220
18040,1070
18041,13464
18042,448
18043,4522
18044,362
18045,1414
18046,11000
18047,2360
18048,7968
18049,2608
18050,10908
18051,1916
18052,3160
18053,3544
18054,1544
18057,2054
18058,790
18059,734
18060,9856
18061,9230
18062,2194
18063,1620
18064,716
18065,2320
18066,388
18067,418
18068,19840
18069,19266
18071,2822
18072,10668
18073,6486
18074,378
18075,5476
18076,8778
18077,2942
18078,13034
18079,720
18080,2308
18081,5660
18082,250
18083,4214
18084,4918
18085,3486
18086,5014
18087,3322
18088,12808
18089,710
18090,2106
18091,944
18092,2694
18093,7660
18094,1768
18095,3086
18096,1040
18097,816
18098,542
18099,1386
18100,3316
18101,1252
18102,31218
18103,578
18104,1442
18105,338
18106,2196
18107,3768
18108,626
18109,3880
18110,146668
18111,1616
18112,1744
18113,3656
18114,5310
18115,3428
18116,1384
18117,1558
18118,2960
18119,820
18120,2074
18121,3154
18122,10598
18123,11700
18124,1082
18125,166
18126,418
