PRO_COM_T,Abitanti
001001,2638
001002,3696
001003,453
001004,1641
001006,6375
001007,246
001008,16811
001009,2058
001010,495
001011,845
001012,1081
001013,12599
001014,1250
001015,802
001016,3136
001017,535
001018,3659
001019,112
001020,3225
001021,1598
001022,3159
001023,578
001024,17856
001025,3476
001026,546
001027,2135
001028,11931
001029,597
001030,3631
001031,796
001032,2210
001033,3107
001034,8822
001035,4600
001036,401
001037,443
001038,8598
001039,1498
001040,1519
001041,1355
001042,1135
001043,1637
001044,5824
001045,6347
001046,3383
001047,7496
001048,6008
001049,1339
001050,1214
001051,5644
001052,274
001053,2590
001054,585
001055,2078
001056,911
001057,765
001058,9241
001059,28924
001060,1880
001061,1517
001062,3041
001063,14003
001064,1757
001065,2202
001066,9845
001067,414
001068,6500
001069,2247
001070,5478
001071,1781
001072,1033
001073,163
001074,940
001075,355
001076,1590
001077,2045
001078,36770
001079,220
001080,881
001081,1601
001082,26827
001083,385
001084,245
001085,328
001086,18548
001087,204
001088,1491
001089,3196
001090,49615
001091,302
001092,584
001093,4485
001094,3183
001095,463
001096,959
001097,7876
001098,9630
001099,8914
001100,238
001101,5182
001102,2240
001103,506
001104,2639
001105,764
001106,2284
001107,3321
001108,263
001109,1662
001110,2876
001111,551
001112,9500
001113,1131
001114,602
001115,16425
001116,3974
001117,671
001118,192
001119,1000
001120,37627
001121,47
001122,701
001123,379
001124,395
001125,23338
001126,1795
001127,8841
001128,4986
001129,1494
001130,16477
001131,164
001132,1802
001133,445
001134,1427
001135,1721
001136,1053
001137,1154
001139,7267
001140,508
001141,565
001142,1158
001143,411
001144,1304
001145,53
001146,3889
001147,663
001148,4194
001149,827
001150,1269
001152,761
001153,379
001154,643
001155,335
001156,57465
001157,33
001158,714
001159,989
001160,3380
001161,5212
001162,840
001163,852
001164,47508
001165,110
001166,6838
001167,295
001168,7948
001169,526
001170,1460
001171,23324
001172,767
001173,1168
001174,911
001175,3316
001176,1192
001177,852
001178,2046
001179,417
001180,1127
001181,3757
001183,4102
001184,3169
001185,527
001186,624
001187,746
001188,617
001189,15534
001190,2918
001191,36178
001192,8415
001193,3856
001194,18405
001195,3350
001196,1373
001197,10293
001198,986
001199,3210
001200,1054
001201,770
001202,248
001203,1908
001204,217
001205,1270
001206,731
001207,481
001208,330
001209,352
001210,1029
001211,1776
001212,49
001213,1162
001214,20267
001215,4765
001216,2537
001217,12511
001218,1577
001219,48472
001220,3031
001221,1716
001222,2026
001223,2665
001224,299
001225,1883
001226,231
001227,789
001228,5043
001229,2385
001230,785
001231,1842
001232,623
001233,468
001234,75
001235,1532
001236,6024
001237,4012
001238,348
001239,524
001240,4882
001241,3729
001242,1747
001243,3148
001244,2565
001245,971
001246,3312
001247,807
001248,10335
001249,18908
001250,1426
001251,263
001252,3107
001253,1895
001254,3645
001255,4711
001256,4197
001257,10736
001258,245
001259,1090
001260,3267
001261,826
001262,1455
001263,922
001264,468
001265,46925
001266,1542
001267,962
001268,270
001269,6198
001270,6173
001271,774
001272,870952
001273,2974
001274,604
001275,4543
001276,3814
001278,322
001279,524
001280,10860
001281,189
001282,200
001283,1418
001284,3960
001285,928
001286,792
001287,3026
001288,95
001289,851
001290,1452
001291,880
001292,33249
001293,4846
001294,1389
001295,802
001296,248
001298,513
001299,5131
001300,4602
001301,1214
001302,3482
001303,2847
001304,1010
001305,1940
001306,1056
001307,3990
001308,4624
001309,15245
001310,1152
001311,1226
001312,519
001313,1021
001314,15453
001315,8520
001316,7457
001317,1276
001318,1026
002002,727
002003,309
002004,2544
002006,863
002007,1420
002008,115
002009,217
002011,1876
002014,170
002015,2320
002016,12502
002017,2211
002021,849
002025,230
002029,74
002030,1038
002031,1109
002032,775
002033,210
002035,290
002041,58
002042,4371
002043,253
002045,88
002047,744
002048,254
002049,7777
002052,408
002054,1066
002057,186
002058,1091
002059,487
002061,7771
002062,826
002065,346
002066,340
002067,521
002068,813
002070,545
002071,4306
002072,820
002078,96
002079,1385
002082,746
002088,797
002089,211
002090,1147
002091,289
002093,1291
002096,139
002097,183
002102,561
002104,712
002107,3951
002108,382
002110,62
002113,132
002115,451
002116,2347
002118,551
002121,175
002122,928
002126,220
002127,102
002128,3883
002131,1522
002133,8379
002134,372
002135,365
002137,4870
002142,1180
002147,697
002148,6984
002150,3430
002152,1933
002156,7101
002158,46558
002163,410
002164,1554
002166,160
002170,151
002171,969
003001,1572
003002,958
003006,2162
003008,13976
003012,760
003016,9545
003018,1296
003019,1152
003021,1275
003022,1170
003023,2009
003024,21715
003025,5222
003026,2818
003027,1121
003030,2504
003032,10868
003036,2510
003037,974
003039,911
003040,1531
003041,888
003042,324
003043,9902
003044,389
003045,1185
003047,1314
003049,6785
003051,467
003052,1245
003055,1608
003058,2594
003060,1402
003062,2573
003065,2027
003066,2620
003068,15722
003069,1424
003070,1775
003073,3467
003076,5541
003077,1345
003079,4379
003082,4328
003083,547
003084,2212
003088,1639
003090,227
003091,1639
003093,1107
003095,2441
003097,1237
003098,787
003100,2481
003103,1797
003104,814
003106,103985
003108,14238
003109,2174
003112,1341
003114,2173
003115,928
003116,1350
003119,814
003120,1381
003121,2140
003122,1868
003129,945
003130,3860
003131,5598
003133,3039
003134,740
003135,1958
003138,554
003139,1407
003140,747
003141,1078
003143,2731
003144,467
003146,921
003149,20712
003153,976
003154,4922
003158,2028
003159,867
003164,546
003166,5271
004001,156
004002,216
004003,31609
004004,231
004005,137
004006,76
004007,200
004008,1017
004009,5900
004010,1066
004011,615
004012,7549
004013,680
004014,643
004015,219
004016,3461
004017,101
004018,352
004019,3663
004020,481
004021,56
004022,4170
004023,100
004024,378
004025,12426
004026,174
004027,636
004028,9717
004029,29852
004030,298
004031,42
004032,279
004033,1025
004034,10164
004035,591
004037,5560
004038,78
004039,92
004040,6801
004041,3057
004042,1150
004043,4345
004044,174
004045,1418
004046,2207
004047,155
004049,1374
004050,317
004051,904
004052,296
004053,59
004054,107
004055,698
004056,839
004057,477
004058,665
004059,5431
004060,86
004061,6957
004062,2031
004063,420
004064,5136
004065,2240
004066,5677
004067,9368
004068,3622
004069,181
004070,86
004071,809
004072,2166
004073,2269
004074,940
004075,3318
004076,373
004077,158
004078,56203
004079,1914
004080,3638
004081,4677
004082,7044
004083,89
004084,847
004085,1967
004086,1734
004087,475
004088,298
004089,24477
004090,745
004091,1564
004092,269
004093,576
004094,341
004095,2987
004096,2609
004097,264
004098,129
004099,2294
004100,2017
004101,3589
004102,66
004103,78
004104,1428
004105,2738
004106,451
004107,762
004108,834
004109,196
004110,1456
004111,189
004112,49
004113,2220
004114,2210
004115,1313
004116,3820
004117,3290
004118,1421
004119,60
004120,221
004121,738
004122,284
004123,223
004124,262
004125,604
004126,1288
004127,82
004128,1379
004129,572
004130,22360
004131,610
004132,1979
004133,4687
004134,544
004135,851
004136,741
004137,478
004138,226
004139,521
004140,1594
004141,229
004142,2365
004143,4069
004144,2021
004145,851
004146,933
004147,3549
004148,3363
004149,363
004150,363
004151,1000
004152,972
004153,397
004154,82
004155,1557
004156,89
004157,2682
004158,568
004159,283
004160,204
004161,268
004162,112
004163,5598
004164,329
004165,2101
004166,2750
004167,76
004168,1395
004169,982
004170,3333
004171,1108
004172,166
004173,235
004174,172
004175,490
004176,2019
004177,681
004178,424
004179,9908
004180,4253
004181,1056
004182,109
004183,98
004184,94
004185,2223
004186,474
004187,1535
004188,130
004189,1608
004190,2121
004191,743
004192,2668
004193,156
004194,1607
004195,420
004196,958
004197,831
004198,354
004199,475
004200,162
004201,1245
004202,718
004203,17526
004204,85
004205,998
004206,163
004207,407
004208,3014
004209,2340
004210,1887
004211,2359
004212,2861
004213,3959
004214,1374
004215,21665
004216,182
004217,2133
004218,561
004219,300
004220,493
004221,323
004222,6345
004223,2723
004224,101
004225,2153
004226,165
004227,490
004228,731
004229,46
004230,773
004231,312
004232,2235
004233,908
004234,774
004235,104
004237,1384
004238,528
004239,1155
004240,6421
004241,2313
004242,3162
004243,2605
004244,2936
004245,5802
004246,745
004247,1537
004248,607
004249,364
004250,501
005001,1578
005002,500
005003,962
005004,567
005005,75528
005006,381
005007,1157
005008,328
005009,409
005010,309
005011,805
005012,2527
005013,1702
005014,1287
005015,1212
005016,414
005017,10392
005018,999
005019,316
005020,601
005021,599
005022,3704
005023,1171
005024,594
005025,2678
005026,305
005027,140
005028,1871
005029,826
005030,726
005031,3126
005032,400
005033,709
005034,470
005035,221
005036,594
005037,368
005038,229
005039,450
005040,1222
005041,292
005042,1454
005044,203
005045,308
005046,274
005047,593
005048,536
005049,521
005050,5755
005051,452
005052,1072
005053,1533
005054,551
005055,731
005056,587
005057,608
005058,2138
005059,2023
005060,321
005061,244
005062,383
005063,502
005064,202
005065,1028
005066,2126
005067,1001
005068,912
005069,2833
005070,883
005071,874
005072,321
005073,935
005074,740
005075,1276
005076,2320
005077,1080
005079,186
005080,10328
005081,71
005082,420
005083,460
005084,559
005085,216
005086,588
005087,2021
005088,166
005089,1562
005090,779
005091,374
005092,473
005093,901
005094,382
005095,347
005096,1416
005097,8221
005098,106
005099,683
005100,1017
005101,1209
005103,539
005104,113
005105,251
005106,530
005107,152
005108,1713
005109,796
005110,246
005111,281
005112,2418
005113,609
005114,241
005115,861
005116,821
005117,2985
005118,5647
005119,387
005120,567
005121,1585
006001,19732
006002,293
006003,93634
006004,742
006005,732
006007,424
006008,364
006009,6367
006010,262
006011,1335
006012,2068
006013,1642
006014,502
006015,708
006016,156
006017,1810
006018,1951
006019,558
006020,1384
006021,2311
006022,1158
006023,326
006024,433
006025,481
006026,478
006027,733
006028,451
006029,1835
006030,1126
006031,310
006032,426
006033,931
006034,85
006035,502
006036,726
006037,1191
006038,372
006039,33592
006040,984
006041,119
006043,2943
006044,850
006045,88
006046,400
006047,4454
006048,141
006049,1925
006050,460
006051,1473
006052,636
006053,5033
006054,412
006055,265
006056,495
006057,405
006058,300
006059,1347
006060,440
006061,955
006062,323
006063,1036
006065,170
006066,184
006067,593
006068,2210
006069,311
006070,510
006071,440
006072,490
006073,1378
006074,652
006075,1928
006076,1599
006077,1052
006078,816
006079,652
006081,4459
006082,686
006083,302
006084,243
006085,479
006086,303
006087,659
006088,817
006090,78
006091,1318
006092,1294
006093,181
006094,1262
006095,2104
006096,589
006097,955
006098,199
006099,190
006100,149
006101,562
006102,251
006103,237
006104,619
006105,307
006106,532
006107,293
006108,304
006109,1385
006110,417
006111,711
006112,627
006113,1343
006114,28255
006115,1270
006116,438
006117,239
006118,117
006119,415
006120,616
006121,11219
006122,1198
006123,1382
006124,200
006125,539
006126,641
006127,1271
006128,1187
006129,895
006131,334
006132,3531
006133,1375
006134,578
006135,329
006136,1012
006137,296
006138,4612
006139,486
006140,1954
006141,1382
006142,1564
006143,640
006144,1388
006145,402
006146,125
006147,1484
006148,215
006149,1498
006150,324
006151,3994
006152,568
006153,1207
006154,4179
006155,571
006156,384
006157,394
006158,1157
006159,523
006160,5974
006161,1264
006162,1911
006163,1634
006164,209
006165,976
006166,359
006167,2387
006168,1910
006169,1538
006170,617
006171,922
006172,854
006173,1341
006174,27248
006175,276
006176,676
006177,18674
006178,982
006179,959
006180,2061
006181,3111
006182,479
006183,896
006184,300
006185,1804
006186,662
006187,1207
006188,1186
006189,133
006190,709
006191,1867
006192,1689
006193,1379
007001,209
007002,553
007003,34052
007004,1243
007005,861
007006,302
007007,1380
007008,2115
007009,120
007010,223
007011,946
007012,862
007013,751
007014,535
007015,908
007016,96
007017,706
007018,384
007019,2401
007020,4582
007021,1350
007022,2730
007023,2460
007024,505
007025,226
007026,476
007027,1790
007028,430
007029,448
007030,1741
007031,3375
007032,314
007033,795
007034,1172
007035,652
007036,405
007037,1368
007038,708
007039,107
007040,2040
007041,797
007042,444
007043,1771
007044,2123
007045,2971
007046,164
007047,212
007048,460
007049,1537
007050,170
007051,794
007052,3638
007053,1020
007054,4106
007055,84
007056,169
007057,1024
007058,3517
007059,374
007060,1360
007061,314
007062,200
007063,3228
007064,329
007065,4564
007066,4856
007067,559
007068,193
007069,608
007070,173
007071,2263
007072,1276
007073,2632
007074,1250
008001,370
008002,622
008003,153
008004,117
008005,333
008006,1094
008007,341
008008,10373
008009,417
008010,835
008011,5616
008012,265
008014,1228
008015,274
008016,1164
008017,1138
008018,267
008019,575
008020,512
008021,1226
008022,602
008023,187
008024,780
008025,684
008026,2275
008027,5835
008028,1106
008029,2068
008030,1323
008031,42614
008032,686
008033,282
008034,172
008035,614
008037,113
008038,193
008039,3154
008040,833
008041,449
008042,1346
008043,785
008044,859
008045,2311
008046,670
008047,476
008048,551
008049,314
008050,2845
008051,296
008052,3062
008053,1266
008054,1260
008055,54850
008056,2086
008057,275
008058,1013
008059,14034
008060,232
008061,350
008062,1293
008063,6920
008064,390
008065,24342
008066,245
008067,460
008068,498
009001,10652
009002,24061
009003,5339
009004,9742
009005,2001
009006,7493
009007,596
009008,537
009009,761
009010,1073
009011,2511
009012,4659
009013,2146
009014,357
009015,12841
009016,1722
009017,1438
009018,5411
009019,733
009020,320
009021,145
009022,5068
009023,3421
009024,5459
009025,2089
009026,1065
009027,1945
009028,223
009029,11358
009030,1265
009031,1000
009032,415
009033,1759
009034,11034
009035,934
009036,1081
009037,108
009038,3281
009039,505
009040,785
009041,189
009042,2590
009043,216
009044,893
009045,1612
009046,450
009047,934
009048,797
009049,8611
009050,642
009051,838
009052,7051
009053,553
009054,773
009055,1767
009056,59933
009057,3626
009058,2960
009059,839
009060,172
009061,2695
009062,2577
009063,688
009064,8307
009065,12901
009066,362
009067,804
009068,2774
009069,296
010001,11318
010002,2525
010003,2613
010004,4450
010005,1946
010006,5392
010007,5168
010008,2841
010009,6680
010010,3743
010011,6771
010012,3146
010013,1569
010014,3735
010015,27725
010016,2375
010017,8923
010018,5707
010019,277
010020,523
010021,1842
010022,65
010023,452
010024,253
010025,574090
010026,85
010027,1445
010028,12561
010029,2389
010030,422
010031,1504
010032,3593
010033,2641
010034,1488
010035,3557
010036,2468
010037,2684
010038,225
010039,2022
010040,2203
010041,841
010042,527
010043,2485
010044,377
010045,137
010046,29672
010047,9633
010048,949
010049,4219
010050,62
010051,2628
010052,506
010053,2618
010054,8973
010055,5746
010056,1057
010057,3083
010058,7711
010059,18082
010060,4078
010061,513
010062,2219
010063,592
010064,2171
010065,764
010066,370
010067,2400
011001,4364
011002,10360
011003,2329
011004,7677
011005,836
011006,901
011007,1290
011008,1087
011009,520
011010,486
011011,8384
011012,1373
011013,6303
011014,629
011015,93288
011016,10004
011017,5368
011018,615
011019,1402
011020,8321
011021,542
011022,3420
011023,3628
011024,1429
011025,685
011026,10011
011027,22148
011028,1329
011029,1882
011030,779
011031,7309
011032,497
012001,408
012002,5237
012003,5497
012004,10089
012005,4835
012006,4691
012007,763
012008,1683
012009,1616
012010,659
012011,2549
012012,5557
012013,8967
012014,3287
012015,4389
012016,2215
012017,3208
012018,862
012019,1723
012020,1236
012021,799
012022,1240
012023,937
012024,1179
012025,3127
012026,83909
012027,2212
012029,7704
012030,4764
