Abitanti,PRO_COM_T
20325,028001
284,098001
3203,097001
6281,052001
2652,095001
366,068001
2059,047023
1367,076001
11523,088001
157,004001
307,066001
2270,076002
2619,065001
60209,063001
3556,087001
18530,087002
18236,087005
52048,087004
271,060001
1072,078001
1520,017001
4309,041001
1180,019001
2833,020001
5410,056001
1798,078002
2042,102001
2599,044001
598,070001
399,094001
20496,072001
3700,044002
927,085001
5606,083107
19744,006001
19812,078003
1878,060002
16968,072002
35283,087006
2209,016001
811,016002
19216,029001
7200,017002
2364,023001
1460,058001
2949,080001
1989,033001
1469,090001
8104,086001
18269,047002
1590,005001
1218,090062
2651,001001
3217,028002
3950,019002
4906,094002
1659,017003
4110,025001
1735,058002
411,012001
15607,108001
1562,003001
58945,084001
22162,065002
4806,042001
1397,024001
2122,108002
417,095002
1475,066002
1612,078004
2222,030001
4041,064001
1327,061001
329,096001
3700,001002
8238,062001
2865,097002
214,004002
8767,022001
458,001003
824,018001
715,002002
3466,068002
2778,025002
10750,009001
28528,060003
31588,004003
12803,067001
252,095003
6446,065003
1390,076003
41124,058003
8321,016003
324,002003
243,018002
5247,023002
286,014001
2128,034001
227,004004
6410,013003
24003,009002
298,006002
10645,072003
873,071002
4229,013004
2007,024002
1486,022002
1647,001004
6378,108003
1248,078006
26638,028003
8852,035001
17822,016004
2730,013005
9788,009004
5347,009003
5243,012002
534,018003
3001,014002
502,005002
3649,018004
45522,081001
1820,083001
3185,022003
1372,095004
93960,006003
378,078007
2756,084002
6360,075002
5734,075003
1000,065004
902,066003
2429,017004
771,006004
11988,039001
43800,090003
664,016248
3550,082001
899,077002
739,006005
2565,002004
720,001005
1838,082002
361,095005
1197,025003
216,007001
1705,055002
6609,075004
1695,006192
6374,016006
5702,016007
6419,001006
5513,016005
1611,024003
6814,025072
242,001007
16943,001008
4721,033002
1300,013006
2964,013253
70658,072004
2007,009005
1609,022235
4137,064002
8516,082004
425,006007
7082,065005
11946,024004
3550,109001
671,078008
3137,069001
2168,024005
6999,026001
140,004005
6961,037062
155,002170
4333,078009
15733,046001
5014,022236
1436,055003
4695,061003
2618,060004
13713,016008
356,006008
4919,013007
1837,090002
703,083002
2430,083003
4973,065006
14090,078010
851,030002
1772,079003
4149,060005
807,079004
2409,016009
529,022237
4326,011001
11890,055004
2822,078011
959,003002
962,030003
7025,063004
21183,060006
1846,067002
686,079005
1117,022005
583,014003
2057,001009
7501,009006
3147,096002
4796,075005
499,001010
244,093001
1782,064003
99382,110001
1038,021002
617,090004
463,017005
5483,012003
5475,051001
2352,017006
845,001011
4253,028004
2052,019003
2306,097003
3906,027001
2144,080003
3232,016010
571,007002
850,058006
966,005003
869,083004
1262,080004
2439,057003
404,103001
330,066004
1823,013009
1181,071003
1590,076004
409,103002
12261,037001
34335,007003
1786,041002
5559,062003
2116,043002
2655,062004
7770,013010
4081,043003
1740,044005
1590,014004
12966,071004
2677,078012
75467,059001
1426,065008
150,008003
3223,030004
1601,064004
5190,060007
9181,075006
9262,084003
576,005004
1326,093002
3847,095006
870,002006
6265,111001
4566,026002
5605,060008
4846,016011
4337,042003
2086,069002
4280,053001
1281,058008
17826,022006
10356,011002
6360,023004
6681,015007
17976,108004
7831,024006
768,090005
833,095007
51193,058117
3266,014005
3444,016012
1333,102002
1564,018005
11333,010001
19676,015009
99574,051002
9854,037002
21440,038001
196,004007
483,079007
1110,069003
21904,064005
4223,029002
18712,058009
1123,069004
5396,061004
1083,001012
1971,103003
865,056002
12200,015010
2166,003006
578,076005
116,008004
442,111002
1251,007004
2272,060009
4012,075007
233,103004
14039,003008
5152,013012
1992,062005
745,062006
7034,060010
1062,044006
6421,006009
1827,028005
2662,029003
2131,028006
4844,012005
3126,024007
791,067003
2242,025004
1464,058010
2076,030005
2887,030006
14141,058011
870,007005
13852,090006
2726,016013
2317,091002
33891,063005
4862,028007
25651,024008
5971,065009
7068,052002
47833,044007
6094,071005
220,057004
6443,024009
887,024010
1435,002007
10078,020002
9163,026003
9242,015011
26937,092003
28491,054001
3584,013013
365,095008
5027,086003
76344,005005
321,095009
1128,066005
3833,076006
10593,069005
4282,060011
842,065011
10479,067004
10846,064006
2038,055006
1713,030007
1105,091003
35835,089001
2231,065012
11013,045001
103,103005
337,008005
3288,025005
2570,060012
2558,010002
7697,064007
181,016014
6510,073001
42000,066006
557,016015
12542,001013
10924,076007
2478,055033
4119,022007
302,007006
264,006010
1365,007007
2076,007008
1265,001014
595,019004
384,005006
15741,093005
3384,017008
7630,016016
4675,012006
766,012007
388,016017
905,103006
26157,063006
1092,008006
1875,090081
361,018006
10178,029004
1010,051003
2922,079008
955,080006
55265,082006
16849,039002
2444,039003
659,018007
3435,030008
1021,004008
4379,016018
6000,046002
25625,048001
5835,040001
666,094003
3478,028008
3123,064009
4911,019005
1827,075008
1205,029005
9836,035002
12692,017009
5898,004009
5948,020003
1818,045002
3587,056003
3811,017010
4696,064010
806,001015
3219,035003
3163,001016
1162,005007
547,001017
1063,004010
6438,082007
534,009008
4120,097004
774,111003
112,002008
231,002009
1779,076008
1351,006011
547,090007
3286,001020
478,103007
1248,076009
3062,028009
78,095010
2583,076010
12419,015250
1703,012008
1264,095011
1594,001021
1314,042004
6429,024124
1008,056004
628,004011
2300,017011
11021,048002
12083,048054
837,018008
630,028010
41093,083005
238,093006
118,007009
1613,012009
2137,034002
762,009009
7212,023006
3159,001022
17389,015012
766,003012
588,095012
663,066008
9836,046003
2559,010003
7613,004012
1153,017012
323523,072006
3958,091005
4253,016020
7092,037003
2703,076011
1726,066009
7006,108005
94472,110002
588,013015
705,004013
589,001023
17253,065013
12440,086004
1124,111004
712,066010
1228,111005
2391,097005
2008,016021
5099,097006
1293,097007
2080,006012
1819,018009
2373,067005
5032,022009
2246,062007
3721,015014
580,083006
8061,015015
5304,030009
2344,017013
43107,024012
4832,056005
1490,059002
1656,006013
676,004014
21795,054002
990,018011
4258,036001
3900,028011
214,004015
50976,065014
695,018012
1922,082008
671,095013
3579,091006
4972,103008
668,012010
12296,017014
1481,022011
3250,034003
718,016022
754,103009
17991,001024
3459,004016
3244,023007
759,041005
1859,043004
500,006014
6346,018013
514,103010
4926,076012
3706,013250
3491,097008
7027,067006
19636,099001
2809,058012
