Abitanti,PRO_COM_T
100,004017
3859,015016
9600,003016
13711,065158
6164,061007
750,065015
35736,025006
7433,108006
1902,078013
702,060013
698,094004
643,057005
603,109003
28112,087007
911,078014
366,004018
9255,078015
2159,042005
328,005008
586,091007
120,014006
330,013021
3670,004019
2532,080008
1800,090008
480,004020
58463,062008
1146,096003
5693,037005
2427,016023
4153,014007
2009,034004
2713,090009
2771,013022
2913,018014
716,006015
121313,016024
2534,029006
1091,009010
56,004021
2779,017015
12308,077003
11183,108007
3066,015019
4169,004022
11014,040003
2392,030010
411,005009
152,006016
1607,017016
2499,017017
1407,016025
15616,108008
2570,012011
2745,022013
964,033003
5567,012012
8976,012013
396,090010
2690,033004
4351,054003
1454,103011
4920,054004
2328,011003
1757,023008
23694,087008
1253,078016
4273,080009
1291,003018
3299,012014
588,016026
1319,014008
1884,002011
12217,108009
10226,035004
11982,051004
3238,049001
3486,001025
2704,071006
1837,030011
139,095014
44008,096004
432,022015
8442,050001
4798,013023
7293,015024
2221,072008
877,096005
233,007010
1348,017019
528,091008
3744,064011
4284,082010
54732,110003
212,066011
1804,067007
1824,006017
4384,012015
11980,072010
54860,072011
11307,072012
2734,091009
3463,084004
1726,013024
1527,022017
289,013025
1216,013026
958,082082
2453,028012
550,001026
1178,003019
1169,078018
181,002014
390,022018
2238,012016
1782,098003
4096,015026
4434,010004
196,103012
1299,003021
2506,009011
7626,011004
6426,016028
36664,015027
2159,001027
391965,037006
142,043005
2559,091010
3866,056008
6233,016029
108038,021008
1197,003022
6499,024013
1743,056009
751,069006
531,085002
1311,082012
10219,036002
1539,095015
834,011005
10168,016030
6705,016031
1988,023009
14121,038003
657,022021
1392,062009
1296,070004
1503,019006
2757,078019
2374,064012
938,090011
3492,090012
3312,090013
98,004023
601,057006
812,025007
708,030012
10348,008008
590,019007
5383,035005
2657,018015
11982,001028
413,008009
1964,006018
919,011006
4340,098004
4644,009012
587,001029
2175,009013
6956,046004
2007,022238
2507,022252
1168,016032
710,022239
5500,020072
549,041006
1459,018016
12578,004025
5371,017020
2458,098005
18323,048004
1396,006020
951,018018
5195,003025
3241,037007
6783,034006
13637,025074
6957,022022
953,057008
7059,028107
2207,002017
14803,020071
1934,020073
3666,001030
2015,003023
382,004024
21781,003024
826,008010
796,001031
312,103078
2207,001032
8064,033006
545,006019
416,018017
8867,028013
4387,057007
9301,017021
12679,002016
358,009014
4206,014009
2696,018019
2587,017022
153,095016
2049,091011
322,069007
879,096006
5951,026004
752,090014
279,090015
1908,010005
7818,095079
1457,029007
3562,023011
2330,006021
3120,001033
172,004026
1164,006022
3379,097009
620,018020
998,016033
646,004027
5173,079012
2694,075009
5117,016034
10844,017023
670,090016
406,080011
4253,080013
8950,080012
2098,017024
9816,004028
7519,017025
8676,060014
3140,071007
17038,108010
3509,028014
16176,023012
332,006023
4143,020007
29833,004029
705,016035
19052,058013
5479,065016
555,018021
3479,080014
1709,017026
8774,001034
695,016036
688,017027
3217,012017
7818,026005
858,012018
8494,024014
6577,013028
8630,016037
7881,016038
2740,098006
741,018022
6662,024015
2173,013029
2241,021010
4801,017028
1724,012019
1344,023013
4030,022025
2500,023014
5637,035006
200316,017029
253,022026
3483,018023
3180,024016
26431,015032
1228,012020
305,004030
4645,001035
337,013030
3979,076013
41,004031
2848,003026
6116,016040
449,006024
86622,074001
862,076014
799,012021
1144,003027
746,017030
6097,108011
7441,039004
1234,012022
950,007011
268,068004
4556,097010
2748,060015
3986,024017
682,102004
5824,083007
9476,018024
18664,087009
1039,004033
397,001036
738,103013
442,001037
35101,108012
7167,028015
1292,011007
9388,093007
8639,001038
120,016041
1723,013032
948,012023
316,005010
5645,016042
1505,001039
16224,063010
1215,012024
2022,096007
891,007012
1523,001040
1102,080015
820,005011
1927,089003
5076,069008
2071,062010
27326,015036
4797,065017
9985,051005
3833,090017
2562,093008
5290,090091
18494,037008
1049,111006
8857,047003
1994,014010
1088,066012
6438,030013
2917,097011
4087,013034
876,090018
494,090019
1641,062011
3115,052003
4288,108013
2791,111007
2572,084005
890,090020
1351,001041
1144,001042
874,002021
1244,095017
5437,010006
1635,001043
10143,004034
4716,015038
993,089004
2913,081002
6804,108051
8455,015040
6918,034007
2437,068005
1198,070005
20483,023015
5817,001044
83912,012026
14024,015041
4491,085003
5587,050002
7042,023016
6427,001045
2525,005012
3940,030014
501,006025
7505,013035
9187,095018
8026,082014
1608,101002
2240,012027
10731,035008
6052,033007
680,022029
16107,028016
8040,013036
2684,012143
7990,026006
3357,001046
2666,065019
8438,041007
154226,092009
496,013037
1287,066013
6945,071008
1885,061008
5434,061009
2131,017031
1071,014011
300,064013
7726,012029
13018,009015
37705,063011
2322,064014
1972,025008
1708,005013
1255,084006
4024,090021
811,080016
599,103014
140,066014
2858,111008
5215,087010
6430,081003
904,056010
1375,022032
6394,050003
12698,050004
6077,016043
13027,017032
5348,016044
5394,097012
1709,043006
13368,037009
1089,022033
7915,023017
11381,024018
3793,022034
2417,033008
18235,048005
2124,034008
1086,011008
1723,009016
6911,075010
4452,064015
1446,009017
141,096008
1289,005014
1977,022035
13880,097013
1237,005015
3513,084007
62026,085004
3826,082015
2529,003030
701,029008
2509,024019
8348,016046
7505,001047
3555,017033
1486,065020
1196,019009
1833,076015
1320,024020
4297,016047
2573,062012
5633,061010
111,018025
1231,015042
8468,017034
493,006026
32194,046005
327,096009
2006,084008
7119,015044
6008,001048
1607,103015
1141,096010
596,004035
7181,042006
414,005016
607,016048
430,058014
2551,042007
10883,003032
6671,043007
1997,061011
743,006027
1578,030015
1241,019010
11250,024021
185,004036
5190,010007
17186,065022
7228,027002
11553,058015
2362,053002
678,019011
5671,035009
1635,078023
2136,108014
5344,035010
2401,054005
227,002025
47535,048006
10075,075011
507,096086
1673,024022
12731,049002
1360,001049
2013,013040
726,022036
6865,067008
4552,080018
795,066015
2858,010008
4865,049003
5716,028020
49269,070006
9742,084010
627,070007
14895,028017
1478,022037
600,059003
2452,070008
935,014012
473,082016
7707,082017
1920,109004
1218,082018
7893,030016
2808,085005
8817,036003
1005,062013
1662,060016
832,070009
10685,027003
807,024023
1141,030138
755,076017
7894,070010
6685,010009
13181,027004
3122,082019
2097,046006
5636,008011
518,043008
11999,028019
5233,063013
1095,018026
1830,037010
1466,022038
5614,004037
1119,025023
4229,058016
2698,029009
1888,022039
1181,076018
902,029010
7449,096012
1247,001050
1519,018027
2300,028021
1114,064016
422,080019
5654,001051
12659,015046
10446,005017
3017,056011
6875,089005
35574,084011
5275,056012
279,001052
970,066017
686,078024
994,065024
4309,054006
919,103016
1388,018029
4220,020008
5174,103017
1666,075012
4392,016049
29655,110004
1315,069010
78,004038
3743,035018
249,066018
3148,100001
2635,001053
1663,057010
464,006028
761,094005
1025,005018
4769,012030
2095,041008
583,001054
40090,013041
1828,067009
5202,013042
11495,027005
4823,033010
3999,053003
6413,050005
46979,046007
11051,058018
2169,019012
5567,013043
5051,066020
638,066021
2971,083008
2437,017035
1693,056013
4131,049004
5364,051006
5207,108052
208,066022
3382,064017
23706,092011
346,017036
557,019013
424,019014
4711,026007
4026,068006
825,094006
7856,048008
397,049005
2315,019015
6703,056014
319,058019
2406,075013
96,004039
1402,051007
168,103018
7154,063014
4413,083010
585,022040
4637,017037
1833,006029
8204,016051
1556,061014
2092,001055
309,005019
184,096013
3065,016052
9481,017038
1635,031001
18210,061015
15663,072014
1808,079017
6795,004040
3069,004041
1879,068007
6646,071010
84,066024
3747,010010
1015,044010
17987,108015
1149,013044
16336,016053
2579,012031
908,001056
1974,056016
1459,018030
2502,063015
1136,006030
11329,026008
27670,111009
5428,009018
1512,028022
75,002029
14903,012032
1966,091103
1430,080022
1975,079018
22397,063016
1153,004042
534,046008
765,001057
1453,097014
315,006031
2212,080023
1044,002030
1123,002031
434,006032
590,101003
626,090022
7962,078025
1360,064019
9275,001058
4519,013046
7067,061016
39567,082021
794,002032
971,022042
919,071011
3190,013047
17526,089006
2779,030018
6170,111010
1484,079020
29118,001059
14824,100002
7496,028023
6666,012033
7359,108016
4824,016055
301,016056
3147,083011
18044,012034
4875,012035
6891,073002
17188,074002
1286,094007
7745,033011
214,078027
1677,041009
13031,017039
952,006033
72470,036005
4207,015050
3729,075015
2528,003036
4018,035011
611,068008
4325,058020
552,069011
3950,071012
1074,094008
62545,045003
85,006034
521,011009
478,011010
502,006035
3618,024024
4428,004043
5286,066025
3815,024025
174,004044
8045,041010
730,006036
4647,028026
15714,015051
6659,013048
636,069012
4709,016057
524,022043
2511,101004
1959,070011
1212,006037
21783,061019
874,069014
544,060017
960,003037
5989,069015
1703,064020
1903,001060
1157,065026
3866,019016
516,070012
1296,062015
3424,103019
1877,019017
4837,028027
1104,050006
33948,006039
13131,026009
36757,037011
373,006038
911,003039
5562,023019
1148,019018
544,019019
2908,098008
1348,065027
1837,019020
3471,037012
19108,035012
1422,004045
3065,069016
1522,003040
15501,019021
3175,098009
1638,019022
2234,020010
985,006040
48808,063017
1441,071013
2714,020011
15346,098010
1525,020012
5397,028028
1757,071014
765,083012
2602,060018
884,003041
1393,012037
3257,063018
19876,072015
215,002033
435,018031
683,058021
7001,061103
415,096014
8569,061021
19860,075016
831,097015
4052,015055
8414,093010
6789,010011
122,006041
13145,097016
884,018032
18698,063021
3972,016058
3777,012038
12342,050040
45603,050008
1510,001061
2495,018033
3034,001062
3147,010012
1892,065029
1539,098011
3009,098012
14065,001063
11412,026010
743,080024
4441,035013
4110,016059
1657,013052
5004,013053
3231,016060
3778,063022
997,045004
2530,039005
3804,052004
5490,069017
8929,018034
5713,012039
5492,015058
615,005020
1369,014013
2868,030019
4398,097017
17807,078029
19212,015059
920,064021
21776,012040
1861,006191
662,012041
754,089007
113,016061
13955,015060
3380,013055
518,097018
623,005021
2940,006043
888,006044
1864,015061
36548,060019
14870,024026
6949,018035
3664,023020
9033,049006
1773,001064
2213,004046
3718,005022
1180,005023
2227,001065
746,018036
11250,015062
8484,017040
2913,024027
1097,064022
599,005024
9617,039006
1508,061023
460,067010
222,022045
1868,037013
4589,020014
11953,023021
315,094009
456,066026
4796,053004
1227,037014
3382,037015
4456,087013
8501,044011
1251,083013
6733,066028
1113,061024
271,057013
3039,051008
4379,069018
8945,058022
2082,055009
12768,020015
4499,037016
3313,022240
18542,037019
11009,017042
3726,061026
3176,054008
398,005032
2828,016063
2317,065035
2588,051010
857,058025
20927,037020
479,094012
1267,057015
2563,056017
2777,055010
1466,028029
3229,020013
5076,042008
321,009020
263,070013
8519,082022
1577,065030
6685,017041
2296,026011
11742,082023
389,099021
154,004047
569,019023
18712,042010
17527,048010
4335,059004
1924,064023
13524,050009
33179,036006
9915,051040
33685,026012
1500,098062
6198,024028
881,076021
1542,029011
2683,005025
4598,033012
1416,053005
2942,083014
1067,066029
7603,067011
15138,081005
64963,063024
9982,001066
19567,072017
3196,082024
91,006045
14539,012042
398,006046
15407,035014
1246,008014
4463,006047
322,003042
9498,019025
1591,042011
297,005026
143,006048
1944,006049
1054,018038
449,006050
145,005027
1492,006051
9983,003043
1370,004049
311,004050
10461,016062
2820,052005
1942,050010
922,004051
527,070014
297,004052
3338,060020
557,012043
1148,018039
6583,037017
1435,061025
614,014014
1942,005028
2618,097019
7969,063025
7285,026013
1185,022048
2315,022047
5260,020016
2094,071015
1990,076022
738,076023
1250,071016
60,004053
1270,013058
4063,029012
1388,070015
1101,083015
546,018040
2692,029013
829,093011
8535,035015
10538,035016
1046,022049
833,005029
9198,052006
1574,098013
661,006052
908,013059
732,005030
13401,023022
1330,071017
115,004054
608,065033
1048,057014
5815,046009
8782,058024
2167,050011
3182,005031
8400,011011
430,001067
15135,036007
5213,006053
1411,062017
1624,094010
157,094011
3498,042012
4473,043009
248,043010
1254,076025
5887,090023
1297,012044
966,101005
409,006054
1961,012045
134,009021
879,066031
2659,062019
5705,019026
107,094013
1097,062020
1580,064024
30869,081006
11273,036008
5336,033014
15540,037021
11538,017043
1673,111011
2131,051011
13232,051012
759,068009
1589,010013
2894,078030
4663,098014
2271,052007
5526,037022
1324,065036
15372,054009
7196,053006
24002,020017
1756,046010
3080,087014
710,004055
2298,056018
1631,069020
2182,067013
7712,012046
832,004056
6496,001068
2680,044012
1417,067014
479,004057
1577,014015
3373,016064
3757,030020
2881,098015
1670,017044
2296,044013
7450,017045
2853,075017
3853,075018
5266,075019
1299,016065
2339,075096
4647,060023
6399,040005
3932,060022
5116,012047
2944,082025
886,070016
2351,083016
258,078032
21777,078033
316579,087015
4633,086006
1268,068010
17194,099002
3543,084014
53127,065037
6761,018041
392,003044
1179,003045
3594,096016
2265,001069
6018,023023
4113,022050
682,004058
5439,004059
12886,075020
13539,027044
1329,003047
204,013062
5814,012048
13261,027006
2922,026014
1522,093012
269,006055
991,030021
11044,058026
543,022052
2961,022053
2169,098017
7377,108017
2668,016066
235,022054
5460,001070
9905,035017
3763,020018
9584,051013
10961,017046
1501,023024
1648,016067
23157,060024
226,018042
28222,049007
1139,017047
442,014016
1001,082026
14158,082027
6138,027007
19525,074003
10929,066032
847,069021
1475,071018
486,019028
493,006056
489,078035
711,005033
4903,017048
1837,065038
83,004060
162,071019
470,005034
1325,056019
1107,056020
6376,074004
966,002171
8078,061102
2350,022241
519,079024
2540,016068
3897,016069
1274,025010
4271,016070
1604,029014
3431,009023
6994,004061
35551,038004
3604,013254
11066,068011
3331,062022
294,103021
8749,060025
3766,010014
6791,003049
541,013063
2282,018043
2322,065040
3668,070017
1807,001071
622,070018
2329,078036
1580,066033
793,014017
671,030022
5122,082028
16732,023025
3527,029015
1089,101006
1039,001072
2590,020019
410,006057
2054,004062
168,001073
1606,016071
183,018044
711,018045
5564,009024
1165,008016
6617,108018
121,033015
58510,071020
3058,078037
9202,013064
1555,021020
1529,067016
6658,013065
3854,097020
34936,015070
218,005035
3582,042013
1015,054010
306,006058
11004,048011
1091,058027
3799,062023
436,004063
1353,006059
2855,096018
5162,015071
1200,094014
15300,015072
595,005036
2584,023026
15998,048012
5494,018046
456,058028
5717,028030
8120,060026
5146,004064
58,002041
665,017049
2275,004065
1164,018047
38445,058029
28972,039007
2194,098018
13731,030023
9305,064025
4994,061028
1142,008017
1315,078039
9489,061029
2390,097021
959,001074
23948,015074
39555,108019
14418,015076
96970,040007
26019,040008
2637,064026
273,008018
3978,025011
3882,026015
3195,102006
464,043011
392,005037
1825,017050
2593,052008
5746,004066
854,017051
749,007013
560,007014
934,007015
96,007016
714,007017
399,007018
2438,007019
9340,004067
418,090024
345,001075
12767,024029
464,064027
7136,052009
1324,050012
1593,001076
8105,088002
1592,090025
3712,026016
14761,042014
5317,079029
19164,017052
1832,076028
205,094015
27514,010015
7287,014018
2066,001077
36872,001078
1311,025012
2470,014019
230,001079
4554,047022
50411,069022
1632,071021
2283,019029
3446,016072
3992,018048
882,001080
5183,093013
656,030024
914,051014
6126,016073
2501,024030
2544,014020
3643,004068
1603,001081
2709,082029
628,030025
581,008019
232,005038
2178,064028
512,008020
1885,052010
8390,052011
1949,051015
26893,001082
4675,007020
39173,058118
3298,084015
386,025013
2376,010016
923,079030
12837,063027
1210,065042
907,019030
391,001083
4460,002042
183,004069
1299,018049
5470,018050
3448,026017
539,017054
554,080026
7172,063028
357,093014
696,022058
445,005039
591,058031
1221,019031
9923,043012
2484,053007
76329,015077
12303,082031
338,014021
251,001084
356,022059
3211,027009
1974,028031
332,001085
395,061030
2319,062024
2165,013068
18593,001086
2654,101007
14561,101008
298,022060
6332,016074
2098,009025
5514,016075
10443,012050
910,024031
2645,026018
89,004070
1228,005040
37250,059005
3488,054011
20179,028032
6716,057016
10177,080028
419,057017
3856,012051
7708,054012
39285,054013
15060,068012
3782,097022
600,008022
4057,022061
253,002043
11118,030026
5143,016076
2759,017055
870,078041
16197,056021
977,066034
334,070019
311,069023
42683,043013
1219,068013
52771,058032
288,066035
1695,068014
1573,056022
4801,067017
3749,040009
8977,051016
814,069024
3142,053008
3120,066036
2071,058033
1120,014022
553,013071
892,093015
391,093016
814,004071
215,001087
7057,022062
1950,012052
8655,016077
1501,001088
3212,001089
285,005041
8696,017056
1455,005042
4762,012053
215,066037
6440,028033
983,018051
11793,038005
15891,098019
5306,026019
16100,030027
1308,090026
1794,096019
8543,108020
1373,007021
8941,010017
3177,024032
5719,010018
468,003051
5983,024126
1121,016078
1847,060027
861,033016
7963,097023
396,057018
866,066038
3426,054014
1748,097024
770,070020
361,057019
21773,052012
658,060029
2341,062025
364,025014
5156,026020
4608,017057
14723,034009
6105,068015
2154,067018
175,069025
450,069026
21418,058034
145,057020
49897,001090
1164,066039
931,060028
5862,075021
221,066040
317,001091
578,001092
16648,049008
1779,070021
1531,057021
1338,094017
12357,041069
3720,044014
472,057022
1051,018193
3534,065043
805,111012
2043,017058
87,002045
2188,030028
1222,043014
1138,077006
8525,023027
7552,017059
48081,015081
8754,023028
4320,058035
3708,067019
510,013074
1363,014023
9176,034010
1195,078043
2076,015082
5461,013251
1649,016080
1221,012054
22165,038006
693,045005
2926,022228
2303,098020
464,030029
2116,025015
2920,012055
4032,017060
1242,003052
31021,088003
891,084016
1753,063029
1115,020020
993,022064
86686,013075
4440,016081
3051,044015
3053,027010
677,065044
1096,023029
274,057023
15683,017061
10386,027011
8273,036010
15799,108021
4987,080029
4513,001093
488,083018
35322,026021
1586,018052
587,057024
443,006060
9834,039008
10233,028034
1614,082033
2315,067020
1399,022242
26096,072019
1296,064030
954,006061
23556,075022
1809,018053
16240,038007
776,018054
48275,072020
2531,065047
18358,015085
2331,029017
3689,056023
21470,054015
18300,093017
6970,026022
2759,093018
5192,046011
274,010019
1582,060030
1032,066041
10887,059006
10558,099003
5749,075023
77722,078157
4916,042015
3206,001094
10764,082034
530,065048
20601,015086
7243,031002
935,016082
298,016249
849,018191
20626,015087
10799,108053
12011,024034
2918,098021
2176,004072
1824,034012
3130,030030
1139,098022
207,098023
6306,026023
25639,035020
3036,108022
5139,028035
836,013077
15054,043015
5079,067021
5358,075024
35157,015093
207,005044
322,005045
280,005046
608,005047
579,033017
1088,019032
1356,019033
7166,017062
1545,098024
4690,033018
2270,004073
1928,017063
1176,097025
1934,016083
2608,018192
535,005048
5853,025016
657,021025
616,067022
21741,051017
225,068016
1022,018057
1413,017064
2150,030031
66431,078045
183,008023
5475,014024
849,080030
961,004074
491,001095
14580,096020
1066,009026
908,044016
671,103023
809,090027
519,005049
397,018058
3367,016084
2489,029018
4796,097026
896,016247
544,016085
330,006062
9117,016086
7694,024035
1144,054016
750,002047
3889,023030
5823,005050
3332,004075
7485,039009
5413,101009
2754,007022
4173,016087
367,018059
261,097027
258,002048
365,004076
762,103024
11371,024036
2788,069027
3596,016088
1577,019034
34447,019035
1717,097028
794,012056
1637,097029
675,013083
1067,006063
72751,019036
1745,019037
7789,002049
1295,024037
2301,098025
5441,050041
1752,029019
1617,003055
1421,096021
13848,037024
4602,103025
13444,073004
155,004077
6082,026025
1387,103026
1169,067023
1039,078046
9990,078047
606,012057
64745,101010
642,019038
406,002052
682,022068
2984,101011
3628,012058
3537,013084
999,001096
8282,015096
3116,012059
2588,095019
1417,068017
7919,001097
436,019039
2991,012060
56439,004078
452,005051
9716,001098
4846,069028
5426,044017
4556,042016
4895,018060
301,095077
2590,003058
165,012061
6668,079039
479,096023
7585,016089
4046,075025
7179,028036
14970,020021
6964,061032
19018,015098
3977,062026
221,013085
236,016090
5513,081007
10206,101012
8871,075026
3349,012062
1664,012063
6479,015099
23773,016091
431,022071
443,025017
15709,017065
1155,102007
1839,010021
3059,012064
5530,079042
457,014025
8370,092015
4339,111013
1942,009027
1372,011012
3352,014026
4133,085006
3205,080031
3652,071022
5602,017066
1958,004079
178,006065
1225,022074
183,006066
301,019040
9659,054017
2598,097030
1081,002054
29455,017067
42002,108023
2271,091016
698,008025
2311,008026
3647,004080
5863,008027
1101,008028
5548,048013
2295,030032
2125,022233
2044,102008
2913,075027
1410,003060
625,013087
4686,004081
329,069029
1339,008030
330,031004
9689,111014
15046,027012
2545,097031
1489,013089
2347,025018
1875,064031
18177,103028
1675,111015
6002,111016
717,096024
3299,013090
2511,007023
2043,111017
309,097032
2603,003062
4601,018061
547,096025
3427,020022
898,016092
247,013092
506,007024
1568,040011
3822,019041
6609,037025
2084,061033
584,022078
103,030034
3045,015101
4968,022079
7054,004082
1068,103029
604,091018
3719,014027
9047,028106
13935,024038
1488,012065
126,012066
2170,062028
397,070022
1050,005052
39932,065050
4475,017068
1684,068018
559,091019
1210,097033
9530,092108
88,004083
221,007025
49138,048014
3415,016093
1601,024039
1314,030035
26675,086009
886,004084
2008,016094
1339,076030
12256,027013
16392,013095
779,023033
1924,023032
8493,074006
27526,081008
221,009028
371,093019
734,090088
694,097034
1948,043016
2133,111018
574,111019
5195,017070
768,097035
3845,060031
380,090028
16278,028037
591,111020
494,007026
2620,013097
244,001100
594,006067
807,046036
6619,035021
29839,042017
2097,102010
2838,030036
553,014028
58846,039010
619,071023
6097,030037
1167,013098
3490,073005
389,066042
3627,078051
12498,012067
908,022081
3566,062029
1872,025019
1466,078052
25923,042018
2750,083019
2102,056025
3266,109005
119,069104
4782,013099
2952,036011
1535,093020
60881,041013
261,067024
1973,069030
8047,016096
14019,057027
2032,003065
1300,016097
1332,069031
3785,024040
561,076031
1772,004086
1435,068019
1100,033019
1447,056026
1672,031005
8678,026026
39603,074007
67,010022
3689,050014
474,004087
459,010023
32620,084017
4337,081009
5252,001101
310,004088
2283,001102
9002,034013
1211,065051
2224,006068
20664,025021
3219,013100
490,001103
20922,060033
2412,089008
8385,041014
36686,109006
