cod_reg,den_reg
"1",Piemonte
"2",Valle d'Aosta
"3",Lombardia
"5",Veneto
"4",Trentino-Alto Adige
"6",Friuli Venezia Giulia
"7",Liguria
"8",Emilia Romagna
"9",Toscana
"10",Umbria
"11",Marche
"13",Abruzzo
"14",Molise
"12",Lazio
"17",Basilicata
"15",Campania
"16",Puglia
"18",Calabria
"19",Sicilia
"20",Sardegna
